Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.704,0.696,0.25,0.23
-4.998e+00,0.704,0.72,0.27,0.33
-4.996e+00,0.704,0.688,0.29,0.25
-4.994e+00,0.704,0.712,0.29,0.35
-4.992e+00,0.704,0.688,0.29,0.27
-4.990e+00,0.696,0.712,0.31,0.37
-4.988e+00,0.688,0.68,0.33,0.29
-4.987e+00,0.688,0.704,0.33,0.37
-4.985e+00,0.688,0.672,0.33,0.31
-4.983e+00,0.688,0.696,0.35,0.41
-4.981e+00,0.688,0.664,0.35,0.33
-4.979e+00,0.68,0.696,0.37,0.41
-4.977e+00,0.68,0.664,0.39,0.35
-4.975e+00,0.672,0.688,0.39,0.43
-4.973e+00,0.672,0.656,0.41,0.37
-4.971e+00,0.664,0.68,0.43,0.47
-4.969e+00,0.664,0.648,0.43,0.39
-4.967e+00,0.656,0.672,0.41,0.49
-4.965e+00,0.656,0.64,0.43,0.41
-4.964e+00,0.648,0.664,0.45,0.49
-4.962e+00,0.648,0.632,0.45,0.43
-4.960e+00,0.648,0.656,0.49,0.51
-4.958e+00,0.64,0.624,0.49,0.45
-4.956e+00,0.64,0.648,0.49,0.53
-4.954e+00,0.632,0.616,0.49,0.47
-4.952e+00,0.632,0.64,0.51,0.55
-4.950e+00,0.624,0.608,0.53,0.49
-4.948e+00,0.624,0.632,0.53,0.57
-4.946e+00,0.616,0.6,0.55,0.51
-4.944e+00,0.616,0.624,0.55,0.59
-4.942e+00,0.608,0.592,0.55,0.53
-4.940e+00,0.6,0.616,0.57,0.61
-4.939e+00,0.6,0.584,0.57,0.53
-4.937e+00,0.592,0.608,0.59,0.63
-4.935e+00,0.584,0.568,0.59,0.55
-4.933e+00,0.584,0.6,0.61,0.65
-4.931e+00,0.584,0.568,0.63,0.57
-4.929e+00,0.576,0.592,0.61,0.67
-4.927e+00,0.576,0.552,0.63,0.59
-4.925e+00,0.568,0.584,0.63,0.69
-4.923e+00,0.56,0.544,0.63,0.61
-4.921e+00,0.56,0.568,0.65,0.69
-4.919e+00,0.56,0.536,0.65,0.63
-4.917e+00,0.544,0.56,0.67,0.71
-4.916e+00,0.544,0.52,0.67,0.63
-4.914e+00,0.536,0.552,0.69,0.73
-4.912e+00,0.528,0.512,0.69,0.65
-4.910e+00,0.52,0.544,0.69,0.73
-4.908e+00,0.52,0.504,0.69,0.67
-4.906e+00,0.512,0.528,0.71,0.75
-4.904e+00,0.504,0.488,0.71,0.69
-4.902e+00,0.504,0.52,0.73,0.77
-4.900e+00,0.496,0.48,0.73,0.69
-4.898e+00,0.496,0.504,0.73,0.79
-4.896e+00,0.488,0.464,0.73,0.71
-4.894e+00,0.48,0.496,0.75,0.79
-4.892e+00,0.472,0.456,0.77,0.73
-4.891e+00,0.472,0.48,0.75,0.81
-4.889e+00,0.464,0.448,0.79,0.75
-4.887e+00,0.456,0.472,0.79,0.83
-4.885e+00,0.448,0.432,0.79,0.75
-4.883e+00,0.448,0.464,0.79,0.83
-4.881e+00,0.44,0.416,0.81,0.77
-4.879e+00,0.432,0.448,0.79,0.85
-4.877e+00,0.424,0.408,0.79,0.77
-4.875e+00,0.424,0.44,0.81,0.87
-4.873e+00,0.416,0.392,0.83,0.79
-4.871e+00,0.408,0.424,0.83,0.87
-4.869e+00,0.4,0.384,0.83,0.81
-4.868e+00,0.392,0.408,0.83,0.89
-4.866e+00,0.392,0.368,0.85,0.81
-4.864e+00,0.384,0.4,0.85,0.89
-4.862e+00,0.376,0.352,0.87,0.83
-4.860e+00,0.368,0.384,0.85,0.91
-4.858e+00,0.36,0.344,0.85,0.83
-4.856e+00,0.352,0.368,0.87,0.91
-4.854e+00,0.352,0.328,0.89,0.85
-4.852e+00,0.344,0.36,0.87,0.93
-4.850e+00,0.336,0.312,0.89,0.85
-4.848e+00,0.328,0.344,0.91,0.95
-4.846e+00,0.32,0.296,0.89,0.87
-4.844e+00,0.312,0.328,0.91,0.95
-4.843e+00,0.312,0.28,0.91,0.87
-4.841e+00,0.304,0.32,0.89,0.95
-4.839e+00,0.296,0.272,0.91,0.87
-4.837e+00,0.288,0.304,0.93,0.97
-4.835e+00,0.28,0.256,0.93,0.89
-4.833e+00,0.272,0.288,0.93,0.97
-4.831e+00,0.264,0.24,0.93,0.89
-4.829e+00,0.256,0.272,0.93,0.99
-4.827e+00,0.248,0.224,0.93,0.91
-4.825e+00,0.24,0.256,0.93,0.99
-4.823e+00,0.232,0.208,0.95,0.91
-4.821e+00,0.224,0.24,0.93,0.99
-4.820e+00,0.224,0.192,0.95,0.91
-4.818e+00,0.216,0.224,0.95,1.01
-4.816e+00,0.208,0.184,0.97,0.93
-4.814e+00,0.192,0.216,0.97,1.01
-4.812e+00,0.192,0.168,0.95,0.93
-4.810e+00,0.184,0.2,0.97,1.01
-4.808e+00,0.176,0.152,0.97,0.93
-4.806e+00,0.168,0.184,0.97,1.01
-4.804e+00,0.16,0.136,0.99,0.95
-4.802e+00,0.152,0.168,0.97,1.03
-4.800e+00,0.144,0.12,0.99,0.95
-4.798e+00,0.136,0.152,0.97,1.03
-4.796e+00,0.128,0.104,0.99,0.95
-4.795e+00,0.12,0.136,1.01,1.03
-4.793e+00,0.112,0.096,0.99,0.95
-4.791e+00,0.112,0.12,0.99,1.03
-4.789e+00,0.104,0.072,0.99,0.95
-4.787e+00,0.096,0.112,1.01,1.03
-4.785e+00,0.08,0.064,0.99,0.95
-4.783e+00,0.08,0.088,0.99,1.05
-4.781e+00,0.072,0.048,0.99,0.95
-4.779e+00,0.064,0.08,0.97,1.03
-4.777e+00,0.056,0.032,0.99,0.97
-4.775e+00,0.048,0.064,1.01,1.05
-4.773e+00,0.04,0.016,0.99,0.97
-4.772e+00,0.032,0.048,0.99,1.05
-4.770e+00,0.024,-1.78814e-10,1.01,0.97
-4.768e+00,0.016,0.032,1.01,1.05
-4.766e+00,0.008,-0.016,0.99,0.97
-4.764e+00,0.008,0.016,1.01,1.05
-4.762e+00,-1.78814e-10,-0.024,1.01,0.97
-4.760e+00,-0.016,-1.78814e-10,1.01,1.05
-4.758e+00,-0.016,-0.04,1.01,0.97
-4.756e+00,-0.024,-0.008,1.01,1.05
-4.754e+00,-0.032,-0.056,0.99,0.97
-4.752e+00,-0.04,-0.024,1.01,1.05
-4.750e+00,-0.048,-0.072,1.01,0.97
-4.748e+00,-0.056,-0.04,1.01,1.05
-4.747e+00,-0.064,-0.088,0.99,0.97
-4.745e+00,-0.072,-0.056,1.01,1.05
-4.743e+00,-0.072,-0.104,0.99,0.97
-4.741e+00,-0.088,-0.072,0.99,1.03
-4.739e+00,-0.088,-0.112,0.99,0.95
-4.737e+00,-0.104,-0.088,1.01,1.03
-4.735e+00,-0.112,-0.136,0.99,0.95
-4.733e+00,-0.112,-0.096,1.01,1.03
-4.731e+00,-0.12,-0.144,0.99,0.95
-4.729e+00,-0.128,-0.112,0.99,1.03
-4.727e+00,-0.136,-0.16,0.99,0.95
-4.725e+00,-0.144,-0.128,0.99,1.03
-4.724e+00,-0.152,-0.176,0.99,0.95
-4.722e+00,-0.16,-0.144,0.97,1.03
-4.720e+00,-0.168,-0.192,0.97,0.93
-4.718e+00,-0.176,-0.16,0.97,1.03
-4.716e+00,-0.184,-0.208,0.95,0.93
-4.714e+00,-0.192,-0.176,0.97,1.01
-4.712e+00,-0.2,-0.224,0.97,0.93
-4.710e+00,-0.2,-0.192,0.97,1.01
-4.708e+00,-0.208,-0.232,0.95,0.93
-4.706e+00,-0.216,-0.2,0.97,1.01
-4.704e+00,-0.224,-0.256,0.97,0.91
-4.702e+00,-0.232,-0.216,0.95,1.01
-4.700e+00,-0.24,-0.264,0.95,0.91
-4.699e+00,-0.248,-0.232,0.95,0.99
-4.697e+00,-0.256,-0.28,0.95,0.91
-4.695e+00,-0.264,-0.248,0.93,0.99
-4.693e+00,-0.272,-0.296,0.95,0.89
-4.691e+00,-0.28,-0.256,0.95,0.97
-4.689e+00,-0.288,-0.312,0.93,0.89
-4.687e+00,-0.296,-0.272,0.91,0.97
-4.685e+00,-0.296,-0.32,0.93,0.89
-4.683e+00,-0.312,-0.288,0.91,0.97
-4.681e+00,-0.32,-0.336,0.91,0.87
-4.679e+00,-0.32,-0.304,0.91,0.95
-4.677e+00,-0.32,-0.344,0.91,0.85
-4.675e+00,-0.336,-0.32,0.89,0.95
-4.674e+00,-0.336,-0.368,0.89,0.85
-4.672e+00,-0.352,-0.328,0.89,0.93
-4.670e+00,-0.352,-0.376,0.89,0.85
-4.668e+00,-0.36,-0.344,0.89,0.93
-4.666e+00,-0.368,-0.392,0.87,0.83
-4.664e+00,-0.376,-0.36,0.87,0.91
-4.662e+00,-0.384,-0.4,0.85,0.83
-4.660e+00,-0.384,-0.368,0.87,0.91
-4.658e+00,-0.392,-0.416,0.85,0.81
-4.656e+00,-0.392,-0.384,0.85,0.89
-4.654e+00,-0.408,-0.424,0.83,0.81
-4.652e+00,-0.416,-0.4,0.83,0.89
-4.651e+00,-0.416,-0.44,0.83,0.79
-4.649e+00,-0.424,-0.408,0.83,0.87
-4.647e+00,-0.432,-0.448,0.83,0.77
-4.645e+00,-0.44,-0.424,0.81,0.87
-4.643e+00,-0.44,-0.464,0.81,0.77
-4.641e+00,-0.448,-0.432,0.81,0.85
-4.639e+00,-0.456,-0.48,0.79,0.75
-4.637e+00,-0.464,-0.448,0.79,0.85
-4.635e+00,-0.472,-0.488,0.79,0.73
-4.633e+00,-0.472,-0.456,0.77,0.83
-4.631e+00,-0.472,-0.496,0.77,0.73
-4.629e+00,-0.488,-0.472,0.77,0.81
-4.627e+00,-0.488,-0.512,0.77,0.71
-4.626e+00,-0.496,-0.48,0.77,0.79
-4.624e+00,-0.504,-0.52,0.73,0.69
-4.622e+00,-0.504,-0.496,0.75,0.79
-4.620e+00,-0.512,-0.536,0.73,0.69
-4.618e+00,-0.52,-0.504,0.73,0.77
-4.616e+00,-0.528,-0.544,0.71,0.67
-4.614e+00,-0.528,-0.512,0.71,0.75
-4.612e+00,-0.536,-0.552,0.71,0.65
-4.610e+00,-0.544,-0.52,0.69,0.75
-4.608e+00,-0.544,-0.56,0.67,0.63
-4.606e+00,-0.552,-0.536,0.67,0.73
-4.604e+00,-0.552,-0.568,0.67,0.63
-4.603e+00,-0.56,-0.544,0.67,0.71
-4.601e+00,-0.56,-0.584,0.67,0.61
-4.599e+00,-0.568,-0.552,0.65,0.69
-4.597e+00,-0.576,-0.592,0.63,0.59
-4.595e+00,-0.576,-0.568,0.63,0.69
-4.593e+00,-0.584,-0.6,0.61,0.57
-4.591e+00,-0.592,-0.576,0.61,0.67
-4.589e+00,-0.592,-0.608,0.61,0.55
-4.587e+00,-0.592,-0.584,0.61,0.65
-4.585e+00,-0.6,-0.616,0.57,0.53
-4.583e+00,-0.6,-0.592,0.57,0.63
-4.581e+00,-0.608,-0.624,0.57,0.53
-4.579e+00,-0.616,-0.6,0.55,0.61
-4.578e+00,-0.616,-0.64,0.55,0.51
-4.576e+00,-0.616,-0.608,0.55,0.59
-4.574e+00,-0.624,-0.648,0.53,0.49
-4.572e+00,-0.632,-0.616,0.53,0.59
-4.570e+00,-0.632,-0.648,0.53,0.47
-4.568e+00,-0.64,-0.624,0.51,0.55
-4.566e+00,-0.64,-0.656,0.49,0.45
-4.564e+00,-0.648,-0.632,0.49,0.53
-4.562e+00,-0.648,-0.664,0.47,0.43
-4.560e+00,-0.648,-0.64,0.47,0.53
-4.558e+00,-0.656,-0.672,0.47,0.41
-4.556e+00,-0.664,-0.648,0.45,0.49
-4.555e+00,-0.664,-0.68,0.45,0.39
-4.553e+00,-0.664,-0.656,0.43,0.47
-4.551e+00,-0.664,-0.688,0.43,0.37
-4.549e+00,-0.672,-0.656,0.41,0.47
-4.547e+00,-0.672,-0.688,0.41,0.35
-4.545e+00,-0.672,-0.664,0.39,0.45
