Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.6,0.592,0.198,0.182
-4.998e+00,0.6,0.616,0.206,0.226
-4.996e+00,0.6,0.6,0.214,0.186
-4.994e+00,0.608,0.616,0.21,0.234
-4.992e+00,0.608,0.6,0.218,0.19
-4.990e+00,0.608,0.624,0.214,0.234
-4.988e+00,0.616,0.608,0.214,0.198
-4.987e+00,0.616,0.632,0.214,0.242
-4.985e+00,0.616,0.616,0.226,0.202
-4.983e+00,0.624,0.632,0.214,0.246
-4.981e+00,0.624,0.616,0.218,0.206
-4.979e+00,0.632,0.64,0.23,0.25
-4.977e+00,0.632,0.624,0.23,0.21
-4.975e+00,0.632,0.648,0.226,0.25
-4.973e+00,0.64,0.632,0.23,0.214
-4.971e+00,0.64,0.656,0.242,0.258
-4.969e+00,0.64,0.632,0.23,0.218
-4.967e+00,0.648,0.656,0.238,0.262
-4.965e+00,0.648,0.64,0.238,0.218
-4.964e+00,0.648,0.664,0.238,0.262
-4.962e+00,0.656,0.648,0.242,0.226
-4.960e+00,0.656,0.664,0.254,0.27
-4.958e+00,0.656,0.648,0.246,0.226
-4.956e+00,0.664,0.672,0.25,0.274
-4.954e+00,0.664,0.656,0.254,0.23
-4.952e+00,0.664,0.68,0.254,0.274
-4.950e+00,0.672,0.664,0.258,0.234
-4.948e+00,0.672,0.68,0.254,0.282
-4.946e+00,0.672,0.664,0.266,0.238
-4.944e+00,0.68,0.688,0.258,0.282
-4.942e+00,0.672,0.672,0.266,0.242
-4.940e+00,0.68,0.696,0.266,0.286
-4.939e+00,0.68,0.672,0.266,0.246
-4.937e+00,0.688,0.696,0.262,0.29
-4.935e+00,0.688,0.672,0.27,0.25
-4.933e+00,0.688,0.704,0.274,0.294
-4.931e+00,0.688,0.68,0.27,0.254
-4.929e+00,0.696,0.704,0.27,0.298
-4.927e+00,0.696,0.688,0.278,0.254
-4.925e+00,0.696,0.704,0.278,0.298
-4.923e+00,0.704,0.688,0.278,0.258
-4.921e+00,0.704,0.712,0.282,0.302
-4.919e+00,0.704,0.696,0.286,0.262
-4.917e+00,0.704,0.712,0.282,0.306
-4.916e+00,0.704,0.696,0.286,0.266
-4.914e+00,0.712,0.72,0.29,0.31
-4.912e+00,0.712,0.696,0.29,0.27
-4.910e+00,0.712,0.72,0.286,0.314
-4.908e+00,0.712,0.704,0.294,0.27
-4.906e+00,0.712,0.72,0.294,0.314
-4.904e+00,0.712,0.704,0.298,0.274
-4.902e+00,0.72,0.728,0.298,0.318
-4.900e+00,0.712,0.712,0.298,0.278
-4.898e+00,0.72,0.728,0.294,0.322
-4.896e+00,0.72,0.712,0.302,0.282
-4.894e+00,0.72,0.728,0.302,0.326
-4.892e+00,0.72,0.712,0.31,0.282
-4.891e+00,0.728,0.736,0.306,0.33
-4.889e+00,0.728,0.72,0.314,0.286
-4.887e+00,0.728,0.736,0.314,0.33
-4.885e+00,0.728,0.72,0.306,0.29
-4.883e+00,0.728,0.736,0.314,0.33
-4.881e+00,0.728,0.72,0.314,0.286
-4.879e+00,0.728,0.736,0.314,0.334
-4.877e+00,0.728,0.72,0.314,0.294
-4.875e+00,0.728,0.744,0.322,0.338
-4.873e+00,0.728,0.72,0.314,0.294
-4.871e+00,0.736,0.744,0.318,0.338
-4.869e+00,0.728,0.728,0.318,0.298
-4.868e+00,0.736,0.744,0.322,0.342
-4.866e+00,0.736,0.728,0.326,0.302
-4.864e+00,0.736,0.744,0.318,0.342
-4.862e+00,0.736,0.728,0.33,0.302
-4.860e+00,0.736,0.744,0.326,0.346
-4.858e+00,0.736,0.728,0.326,0.306
-4.856e+00,0.736,0.752,0.326,0.346
-4.854e+00,0.736,0.728,0.326,0.306
-4.852e+00,0.736,0.752,0.318,0.354
-4.850e+00,0.736,0.728,0.326,0.31
-4.848e+00,0.736,0.752,0.33,0.354
-4.846e+00,0.736,0.728,0.334,0.31
-4.844e+00,0.736,0.752,0.334,0.354
-4.843e+00,0.736,0.728,0.342,0.314
-4.841e+00,0.744,0.752,0.334,0.354
-4.839e+00,0.744,0.728,0.33,0.314
-4.837e+00,0.744,0.752,0.346,0.358
-4.835e+00,0.744,0.728,0.342,0.318
-4.833e+00,0.744,0.752,0.338,0.358
-4.831e+00,0.744,0.728,0.338,0.318
-4.829e+00,0.736,0.752,0.354,0.362
-4.827e+00,0.744,0.728,0.346,0.322
-4.825e+00,0.736,0.752,0.338,0.362
-4.823e+00,0.744,0.728,0.354,0.322
-4.821e+00,0.736,0.752,0.346,0.362
-4.820e+00,0.736,0.728,0.342,0.322
-4.818e+00,0.736,0.752,0.35,0.366
-4.816e+00,0.736,0.728,0.35,0.326
-4.814e+00,0.736,0.752,0.338,0.366
-4.812e+00,0.736,0.728,0.354,0.326
-4.810e+00,0.744,0.752,0.346,0.37
-4.808e+00,0.736,0.728,0.358,0.326
-4.806e+00,0.736,0.744,0.35,0.37
-4.804e+00,0.736,0.728,0.354,0.33
-4.802e+00,0.736,0.744,0.358,0.37
-4.800e+00,0.736,0.728,0.338,0.33
-4.798e+00,0.736,0.744,0.354,0.37
-4.796e+00,0.736,0.728,0.358,0.326
-4.795e+00,0.736,0.744,0.354,0.374
-4.793e+00,0.728,0.72,0.346,0.33
-4.791e+00,0.728,0.744,0.35,0.374
-4.789e+00,0.728,0.72,0.358,0.334
-4.787e+00,0.728,0.744,0.354,0.374
-4.785e+00,0.728,0.72,0.362,0.334
-4.783e+00,0.728,0.736,0.358,0.378
-4.781e+00,0.728,0.72,0.35,0.33
-4.779e+00,0.728,0.736,0.358,0.374
-4.777e+00,0.72,0.712,0.354,0.334
-4.775e+00,0.728,0.736,0.35,0.378
-4.773e+00,0.728,0.712,0.354,0.33
-4.772e+00,0.72,0.728,0.362,0.378
-4.770e+00,0.72,0.712,0.362,0.334
-4.768e+00,0.72,0.728,0.354,0.378
-4.766e+00,0.72,0.704,0.35,0.334
-4.764e+00,0.712,0.728,0.358,0.378
-4.762e+00,0.712,0.704,0.346,0.334
-4.760e+00,0.712,0.728,0.358,0.378
-4.758e+00,0.712,0.704,0.37,0.334
-4.756e+00,0.712,0.72,0.358,0.382
-4.754e+00,0.712,0.696,0.35,0.334
-4.752e+00,0.712,0.72,0.354,0.378
-4.750e+00,0.704,0.696,0.358,0.334
-4.748e+00,0.704,0.712,0.354,0.378
-4.747e+00,0.704,0.688,0.362,0.338
-4.745e+00,0.704,0.712,0.362,0.382
-4.743e+00,0.696,0.688,0.35,0.334
-4.741e+00,0.696,0.712,0.354,0.378
-4.739e+00,0.696,0.688,0.37,0.334
-4.737e+00,0.696,0.704,0.354,0.378
-4.735e+00,0.696,0.68,0.358,0.334
-4.733e+00,0.688,0.704,0.354,0.382
-4.731e+00,0.688,0.68,0.354,0.334
-4.729e+00,0.688,0.696,0.362,0.378
-4.727e+00,0.688,0.672,0.362,0.334
-4.725e+00,0.68,0.696,0.354,0.378
-4.724e+00,0.688,0.664,0.358,0.334
-4.722e+00,0.68,0.688,0.354,0.378
-4.720e+00,0.672,0.664,0.37,0.33
-4.718e+00,0.672,0.688,0.354,0.378
-4.716e+00,0.672,0.656,0.358,0.334
-4.714e+00,0.672,0.68,0.354,0.378
-4.712e+00,0.664,0.656,0.358,0.33
-4.710e+00,0.664,0.68,0.346,0.374
-4.708e+00,0.664,0.648,0.35,0.33
-4.706e+00,0.656,0.672,0.358,0.374
-4.704e+00,0.656,0.648,0.354,0.33
-4.702e+00,0.656,0.672,0.35,0.374
-4.700e+00,0.648,0.64,0.354,0.33
-4.699e+00,0.648,0.664,0.354,0.37
-4.697e+00,0.648,0.632,0.35,0.33
-4.695e+00,0.64,0.656,0.35,0.37
-4.693e+00,0.648,0.624,0.358,0.326
-4.691e+00,0.64,0.648,0.342,0.37
-4.689e+00,0.632,0.624,0.338,0.326
-4.687e+00,0.632,0.648,0.35,0.37
-4.685e+00,0.632,0.616,0.338,0.326
-4.683e+00,0.624,0.64,0.342,0.366
-4.681e+00,0.624,0.608,0.342,0.322
-4.679e+00,0.624,0.632,0.354,0.366
-4.677e+00,0.616,0.608,0.35,0.322
-4.675e+00,0.616,0.624,0.35,0.366
-4.674e+00,0.616,0.6,0.346,0.322
-4.672e+00,0.608,0.624,0.342,0.366
-4.670e+00,0.608,0.592,0.334,0.318
-4.668e+00,0.6,0.616,0.35,0.362
-4.666e+00,0.6,0.584,0.342,0.318
-4.664e+00,0.6,0.608,0.342,0.362
-4.662e+00,0.6,0.584,0.342,0.318
-4.660e+00,0.592,0.608,0.338,0.358
-4.658e+00,0.584,0.576,0.334,0.314
-4.656e+00,0.584,0.6,0.334,0.358
-4.654e+00,0.584,0.568,0.338,0.314
-4.652e+00,0.584,0.592,0.338,0.354
-4.651e+00,0.576,0.56,0.33,0.31
-4.649e+00,0.576,0.584,0.334,0.354
-4.647e+00,0.568,0.552,0.338,0.31
-4.645e+00,0.568,0.576,0.326,0.354
-4.643e+00,0.56,0.544,0.326,0.306
-4.641e+00,0.56,0.568,0.33,0.35
-4.639e+00,0.552,0.536,0.326,0.302
-4.637e+00,0.552,0.56,0.318,0.35
-4.635e+00,0.544,0.528,0.33,0.302
-4.633e+00,0.544,0.552,0.326,0.346
-4.631e+00,0.544,0.528,0.314,0.298
-4.629e+00,0.536,0.552,0.322,0.346
-4.627e+00,0.536,0.512,0.322,0.298
-4.626e+00,0.528,0.544,0.31,0.342
-4.624e+00,0.528,0.504,0.322,0.294
-4.622e+00,0.52,0.536,0.314,0.338
-4.620e+00,0.52,0.504,0.31,0.29
-4.618e+00,0.52,0.528,0.31,0.338
-4.616e+00,0.512,0.496,0.318,0.29
-4.614e+00,0.504,0.52,0.314,0.334
-4.612e+00,0.504,0.488,0.302,0.29
-4.610e+00,0.504,0.512,0.302,0.33
-4.608e+00,0.496,0.48,0.314,0.286
-4.606e+00,0.496,0.504,0.302,0.33
-4.604e+00,0.48,0.472,0.31,0.282
-4.603e+00,0.48,0.496,0.31,0.326
-4.601e+00,0.48,0.464,0.302,0.278
-4.599e+00,0.472,0.488,0.298,0.326
-4.597e+00,0.472,0.456,0.298,0.274
-4.595e+00,0.464,0.48,0.302,0.322
-4.593e+00,0.456,0.44,0.294,0.274
-4.591e+00,0.456,0.472,0.298,0.318
-4.589e+00,0.448,0.44,0.29,0.27
-4.587e+00,0.448,0.464,0.298,0.314
-4.585e+00,0.448,0.424,0.294,0.266
-4.583e+00,0.44,0.456,0.294,0.31
-4.581e+00,0.44,0.416,0.29,0.262
-4.579e+00,0.432,0.448,0.282,0.31
-4.578e+00,0.424,0.408,0.278,0.262
-4.576e+00,0.424,0.44,0.282,0.306
-4.574e+00,0.424,0.4,0.278,0.258
-4.572e+00,0.408,0.432,0.278,0.302
-4.570e+00,0.408,0.392,0.278,0.254
-4.568e+00,0.408,0.416,0.274,0.298
-4.566e+00,0.4,0.384,0.27,0.254
-4.564e+00,0.4,0.408,0.27,0.294
-4.562e+00,0.392,0.376,0.274,0.25
-4.560e+00,0.384,0.4,0.27,0.29
-4.558e+00,0.384,0.368,0.27,0.242
-4.556e+00,0.376,0.392,0.27,0.29
-4.555e+00,0.376,0.352,0.27,0.238
-4.553e+00,0.368,0.384,0.266,0.286
-4.551e+00,0.368,0.344,0.266,0.234
-4.549e+00,0.36,0.376,0.262,0.282
-4.547e+00,0.352,0.336,0.258,0.234
-4.545e+00,0.352,0.36,0.258,0.278
-4.543e+00,0.344,0.32,0.262,0.226
-4.541e+00,0.336,0.352,0.246,0.274
-4.539e+00,0.336,0.312,0.242,0.226
-4.537e+00,0.328,0.344,0.242,0.27
-4.535e+00,0.328,0.304,0.246,0.222
-4.533e+00,0.328,0.336,0.238,0.266
-4.531e+00,0.32,0.296,0.246,0.218
-4.530e+00,0.312,0.328,0.238,0.266
-4.528e+00,0.312,0.288,0.238,0.214
-4.526e+00,0.304,0.312,0.234,0.258
-4.524e+00,0.296,0.28,0.238,0.21
