,h,fh,h1,fh1,k,fk,k Avg
1,41,0.5,7,0.5,1.205882353,0.017990168,1.254665261
2,44,0.5,9,0.5,1.257142857,0.01833103,
3,47,0.5,10.2,0.5,1.277173913,0.017756851,fk Avg
4,55,0.5,11.7,0.5,1.270207852,0.014995729,0.017022226
5,60.7,0.5,12.1,0.5,1.248971193,0.01310231,
6,69.3,0.5,14.3,0.5,1.26,0.011695871,
7,58.5,0.5,12.2,0.5,1.26349892,0.013938255,
8,62.8,0.5,12.8,0.5,1.256,0.012818237,
9,32.7,0.5,6.6,0.5,1.252873563,0.024485406,
10,32,0.5,6.5,0.5,1.254901961,0.025108407,
Einheten,mm,mm,mm,mm,,,
