U0,fU0,Ur,fUr,I,fI,R,fR,Pr,fPr,Ua,fUa,Rintern,fRintern
1.01,0.002909,0.906,0.0028154,1.156,0.011936,0.783737024,0.008450836,1.047336,0.011293156,0.104,0.004048303,0.089965398,0.026596722
2.004,0.0038036,1.866,0.0036794,1.51,0.01406,1.235761589,0.01176167,2.81766,0.026817784,0.138,0.005292009,0.091390728,0.019634036
3.031,0.0047279,2.87,0.004583,1.834,0.016004,1.564885496,0.013882392,5.26358,0.046694203,0.161,0.006584598,0.08778626,0.01551256
4.021,0.0056189,3.836,0.0054524,2.107,0.017642,1.820598007,0.015462028,8.082452,0.068642884,0.185,0.007829477,0.087802563,0.013394349
5.036,0.0065324,4.828,0.0063452,2.36,0.01916,2.045762712,0.016825032,11.39408,0.093708696,0.208,0.0091068,0.088135593,0.011973435
6.036,0.0074324,5.807,0.0072263,2.59,0.02054,2.242084942,0.01799843,15.04013,0.120735267,0.229,0.010366291,0.088416988,0.010979456
7.042,0.0083378,6.797,0.0081173,2.808,0.021848,2.420584046,0.019054222,19.085976,0.150239949,0.245,0.011636557,0.087250712,0.010162215
7.949,0.0091541,7.686,0.0089174,2.993,0.022958,2.567991981,0.019922001,23.004198,0.178462258,0.263,0.012779576,0.087871701,0.009668186
