Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-0.368,-0.376,-1.11,-1.13
-4.998e+00,-0.368,-0.352,-1.11,-1.05
-4.996e+00,-0.36,-0.368,-1.11,-1.13
-4.994e+00,-0.352,-0.336,-1.09,-1.03
-4.992e+00,-0.344,-0.352,-1.11,-1.13
-4.990e+00,-0.336,-0.328,-1.09,-1.03
-4.988e+00,-0.336,-0.344,-1.07,-1.11
-4.987e+00,-0.328,-0.312,-1.09,-1.01
-4.985e+00,-0.32,-0.328,-1.09,-1.11
-4.983e+00,-0.312,-0.304,-1.07,-1.01
-4.981e+00,-0.304,-0.32,-1.07,-1.09
-4.979e+00,-0.304,-0.288,-1.05,-1.01
-4.977e+00,-0.296,-0.304,-1.05,-1.09
-4.975e+00,-0.288,-0.272,-1.05,-0.99
-4.973e+00,-0.28,-0.288,-1.05,-1.07
-4.971e+00,-0.272,-0.256,-1.03,-0.99
-4.969e+00,-0.272,-0.28,-1.03,-1.07
-4.967e+00,-0.256,-0.248,-1.01,-0.97
-4.965e+00,-0.248,-0.264,-1.03,-1.05
-4.964e+00,-0.248,-0.232,-1.01,-0.97
-4.962e+00,-0.24,-0.248,-1.01,-1.05
-4.960e+00,-0.232,-0.216,-1.01,-0.95
-4.958e+00,-0.232,-0.24,-0.99,-1.03
-4.956e+00,-0.216,-0.208,-0.99,-0.93
-4.954e+00,-0.208,-0.224,-0.99,-1.03
-4.952e+00,-0.208,-0.192,-0.99,-0.93
-4.950e+00,-0.2,-0.208,-0.97,-1.01
-4.948e+00,-0.192,-0.176,-0.97,-0.91
-4.946e+00,-0.184,-0.192,-0.97,-0.99
-4.944e+00,-0.176,-0.16,-0.95,-0.91
-4.942e+00,-0.168,-0.184,-0.93,-0.99
-4.940e+00,-0.16,-0.152,-0.95,-0.89
-4.939e+00,-0.152,-0.168,-0.95,-0.97
-4.937e+00,-0.152,-0.136,-0.93,-0.87
-4.935e+00,-0.144,-0.152,-0.93,-0.95
-4.933e+00,-0.136,-0.12,-0.91,-0.87
-4.931e+00,-0.128,-0.144,-0.91,-0.95
-4.929e+00,-0.12,-0.112,-0.91,-0.85
-4.927e+00,-0.112,-0.128,-0.89,-0.93
-4.925e+00,-0.112,-0.096,-0.89,-0.83
-4.923e+00,-0.096,-0.112,-0.87,-0.91
-4.921e+00,-0.096,-0.08,-0.87,-0.83
-4.919e+00,-0.088,-0.096,-0.85,-0.89
-4.917e+00,-0.08,-0.064,-0.85,-0.81
-4.916e+00,-0.072,-0.08,-0.85,-0.89
-4.914e+00,-0.064,-0.056,-0.85,-0.79
-4.912e+00,-0.056,-0.072,-0.83,-0.87
-4.910e+00,-0.048,-0.04,-0.83,-0.77
-4.908e+00,-0.048,-0.056,-0.83,-0.85
-4.906e+00,-0.04,-0.024,-0.83,-0.75
-4.904e+00,-0.032,-0.04,-0.81,-0.83
-4.902e+00,-0.024,-0.008,-0.79,-0.73
-4.900e+00,-0.016,-0.024,-0.79,-0.83
-4.898e+00,-0.008,-1.78814e-10,-0.77,-0.73
-4.896e+00,-0.008,-0.016,-0.77,-0.81
-4.894e+00,-1.78814e-10,0.016,-0.77,-0.71
-4.892e+00,0.008,-1.78814e-10,-0.75,-0.79
-4.891e+00,0.016,0.032,-0.75,-0.69
-4.889e+00,0.024,0.016,-0.75,-0.77
-4.887e+00,0.032,0.048,-0.73,-0.67
-4.885e+00,0.04,0.024,-0.71,-0.75
-4.883e+00,0.048,0.056,-0.71,-0.65
-4.881e+00,0.048,0.04,-0.71,-0.73
-4.879e+00,0.056,0.072,-0.69,-0.63
-4.877e+00,0.064,0.056,-0.69,-0.71
-4.875e+00,0.072,0.088,-0.69,-0.61
-4.873e+00,0.08,0.072,-0.67,-0.69
-4.871e+00,0.088,0.104,-0.65,-0.59
-4.869e+00,0.096,0.088,-0.65,-0.67
-4.868e+00,0.104,0.112,-0.63,-0.59
-4.866e+00,0.112,0.096,-0.61,-0.65
-4.864e+00,0.112,0.128,-0.63,-0.57
-4.862e+00,0.12,0.112,-0.61,-0.63
-4.860e+00,0.128,0.144,-0.59,-0.53
-4.858e+00,0.136,0.128,-0.59,-0.63
-4.856e+00,0.144,0.152,-0.57,-0.53
-4.854e+00,0.144,0.136,-0.57,-0.59
-4.852e+00,0.152,0.168,-0.55,-0.51
-4.850e+00,0.16,0.152,-0.57,-0.57
-4.848e+00,0.168,0.184,-0.55,-0.49
-4.846e+00,0.176,0.168,-0.51,-0.57
-4.844e+00,0.184,0.2,-0.53,-0.47
-4.843e+00,0.192,0.184,-0.51,-0.53
-4.841e+00,0.2,0.216,-0.51,-0.43
-4.839e+00,0.208,0.2,-0.47,-0.51
-4.837e+00,0.208,0.224,-0.47,-0.41
-4.835e+00,0.216,0.208,-0.47,-0.49
-4.833e+00,0.224,0.24,-0.47,-0.39
-4.831e+00,0.232,0.224,-0.43,-0.49
-4.829e+00,0.24,0.256,-0.45,-0.37
-4.827e+00,0.248,0.24,-0.41,-0.45
-4.825e+00,0.256,0.264,-0.41,-0.35
-4.823e+00,0.264,0.248,-0.43,-0.43
-4.821e+00,0.272,0.28,-0.39,-0.33
-4.820e+00,0.28,0.264,-0.37,-0.41
-4.818e+00,0.28,0.296,-0.37,-0.31
-4.816e+00,0.288,0.28,-0.37,-0.39
-4.814e+00,0.296,0.312,-0.35,-0.29
-4.812e+00,0.304,0.288,-0.35,-0.37
-4.810e+00,0.304,0.32,-0.33,-0.27
-4.808e+00,0.312,0.304,-0.31,-0.35
-4.806e+00,0.32,0.336,-0.31,-0.25
-4.804e+00,0.328,0.32,-0.29,-0.33
-4.802e+00,0.336,0.344,-0.29,-0.23
-4.800e+00,0.344,0.328,-0.27,-0.31
-4.798e+00,0.344,0.36,-0.27,-0.21
-4.796e+00,0.352,0.344,-0.27,-0.29
-4.795e+00,0.36,0.376,-0.23,-0.19
-4.793e+00,0.368,0.36,-0.23,-0.27
-4.791e+00,0.376,0.384,-0.23,-0.17
-4.789e+00,0.376,0.368,-0.23,-0.25
-4.787e+00,0.384,0.4,-0.21,-0.15
-4.785e+00,0.392,0.384,-0.19,-0.23
-4.783e+00,0.4,0.408,-0.19,-0.13
-4.781e+00,0.408,0.392,-0.17,-0.21
-4.779e+00,0.408,0.424,-0.15,-0.11
-4.777e+00,0.416,0.408,-0.17,-0.17
-4.775e+00,0.416,0.432,-0.13,-0.07
-4.773e+00,0.424,0.416,-0.13,-0.17
-4.772e+00,0.432,0.448,-0.13,-0.07
-4.770e+00,0.44,0.432,-0.11,-0.13
-4.768e+00,0.448,0.456,-0.09,-0.03
-4.766e+00,0.456,0.44,-0.07,-0.11
-4.764e+00,0.456,0.472,-0.07,-0.01
-4.762e+00,0.464,0.456,-0.07,-0.09
-4.760e+00,0.464,0.48,-0.05,0.01
-4.758e+00,0.472,0.464,-0.05,-0.07
-4.756e+00,0.48,0.488,-0.03,0.03
-4.754e+00,0.48,0.472,-0.01,-0.05
-4.752e+00,0.488,0.504,-0.01,0.05
-4.750e+00,0.488,0.48,0.01,-0.03
-4.748e+00,0.496,0.512,0.01,0.07
-4.747e+00,0.504,0.496,0.03,-0.01
-4.745e+00,0.512,0.52,0.03,0.09
-4.743e+00,0.512,0.504,0.05,0.01
-4.741e+00,0.52,0.536,0.07,0.11
-4.739e+00,0.528,0.52,0.07,0.05
-4.737e+00,0.528,0.544,0.09,0.13
-4.735e+00,0.536,0.528,0.09,0.07
-4.733e+00,0.536,0.552,0.11,0.15
-4.731e+00,0.544,0.536,0.11,0.09
-4.729e+00,0.552,0.56,0.13,0.19
-4.727e+00,0.552,0.544,0.15,0.11
-4.725e+00,0.56,0.568,0.15,0.21
-4.724e+00,0.56,0.552,0.17,0.13
-4.722e+00,0.568,0.584,0.17,0.21
-4.720e+00,0.568,0.56,0.17,0.15
-4.718e+00,0.576,0.592,0.19,0.25
-4.716e+00,0.584,0.576,0.21,0.17
-4.714e+00,0.584,0.6,0.21,0.27
-4.712e+00,0.592,0.584,0.21,0.19
-4.710e+00,0.592,0.608,0.23,0.29
-4.708e+00,0.6,0.592,0.25,0.21
-4.706e+00,0.6,0.616,0.25,0.31
-4.704e+00,0.608,0.6,0.27,0.25
-4.702e+00,0.608,0.624,0.29,0.33
-4.700e+00,0.616,0.608,0.29,0.25
-4.699e+00,0.616,0.632,0.31,0.35
-4.697e+00,0.616,0.608,0.31,0.29
-4.695e+00,0.624,0.64,0.33,0.37
-4.693e+00,0.632,0.624,0.33,0.31
-4.691e+00,0.64,0.648,0.35,0.39
-4.689e+00,0.64,0.632,0.35,0.33
-4.687e+00,0.64,0.656,0.37,0.41
-4.685e+00,0.648,0.632,0.39,0.35
-4.683e+00,0.648,0.664,0.39,0.43
-4.681e+00,0.648,0.64,0.39,0.37
-4.679e+00,0.656,0.664,0.41,0.45
-4.677e+00,0.656,0.648,0.41,0.39
-4.675e+00,0.664,0.672,0.43,0.47
-4.674e+00,0.664,0.656,0.43,0.41
-4.672e+00,0.664,0.68,0.45,0.51
-4.670e+00,0.672,0.664,0.47,0.43
-4.668e+00,0.672,0.688,0.47,0.51
-4.666e+00,0.68,0.664,0.47,0.45
-4.664e+00,0.68,0.688,0.47,0.55
-4.662e+00,0.688,0.672,0.51,0.47
-4.660e+00,0.688,0.696,0.53,0.57
-4.658e+00,0.688,0.68,0.53,0.49
-4.656e+00,0.688,0.704,0.53,0.59
-4.654e+00,0.688,0.688,0.53,0.51
-4.652e+00,0.696,0.712,0.55,0.61
-4.651e+00,0.696,0.688,0.57,0.53
-4.649e+00,0.704,0.712,0.57,0.63
-4.647e+00,0.704,0.696,0.59,0.55
-4.645e+00,0.712,0.712,0.59,0.63
-4.643e+00,0.704,0.696,0.61,0.57
-4.641e+00,0.712,0.72,0.59,0.65
-4.639e+00,0.712,0.704,0.61,0.59
-4.637e+00,0.712,0.728,0.63,0.67
-4.635e+00,0.712,0.704,0.63,0.61
-4.633e+00,0.72,0.728,0.65,0.69
-4.631e+00,0.72,0.712,0.65,0.63
-4.629e+00,0.72,0.728,0.67,0.71
-4.627e+00,0.72,0.712,0.69,0.63
-4.626e+00,0.728,0.736,0.67,0.73
-4.624e+00,0.728,0.72,0.69,0.65
-4.622e+00,0.728,0.736,0.69,0.75
-4.620e+00,0.728,0.72,0.71,0.67
-4.618e+00,0.728,0.744,0.71,0.77
-4.616e+00,0.728,0.72,0.73,0.69
-4.614e+00,0.728,0.744,0.73,0.77
-4.612e+00,0.736,0.72,0.75,0.71
-4.610e+00,0.736,0.744,0.75,0.79
-4.608e+00,0.736,0.728,0.75,0.73
-4.606e+00,0.736,0.744,0.77,0.81
-4.604e+00,0.736,0.728,0.77,0.75
-4.603e+00,0.736,0.752,0.77,0.83
-4.601e+00,0.736,0.728,0.79,0.75
-4.599e+00,0.736,0.752,0.79,0.85
-4.597e+00,0.736,0.728,0.79,0.77
-4.595e+00,0.736,0.752,0.81,0.85
-4.593e+00,0.736,0.728,0.81,0.79
-4.591e+00,0.736,0.752,0.81,0.87
-4.589e+00,0.736,0.728,0.83,0.81
-4.587e+00,0.736,0.752,0.85,0.89
-4.585e+00,0.744,0.728,0.85,0.81
-4.583e+00,0.736,0.752,0.85,0.91
-4.581e+00,0.736,0.728,0.85,0.83
-4.579e+00,0.744,0.752,0.87,0.91
-4.578e+00,0.744,0.728,0.87,0.85
-4.576e+00,0.736,0.752,0.89,0.93
-4.574e+00,0.736,0.728,0.89,0.85
-4.572e+00,0.736,0.752,0.91,0.95
-4.570e+00,0.736,0.728,0.89,0.87
-4.568e+00,0.736,0.752,0.91,0.95
-4.566e+00,0.736,0.728,0.91,0.89
-4.564e+00,0.736,0.744,0.93,0.97
-4.562e+00,0.736,0.728,0.93,0.89
-4.560e+00,0.736,0.744,0.95,0.99
-4.558e+00,0.736,0.728,0.95,0.91
-4.556e+00,0.736,0.744,0.95,0.99
-4.555e+00,0.736,0.72,0.95,0.93
