Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.712,0.704,0.318,0.298
-4.998e+00,0.712,0.72,0.322,0.342
-4.996e+00,0.72,0.704,0.33,0.302
-4.994e+00,0.72,0.728,0.318,0.346
-4.992e+00,0.72,0.712,0.314,0.302
-4.990e+00,0.72,0.728,0.326,0.35
-4.988e+00,0.72,0.712,0.33,0.306
-4.987e+00,0.72,0.736,0.326,0.35
-4.985e+00,0.72,0.712,0.33,0.31
-4.983e+00,0.72,0.736,0.33,0.35
-4.981e+00,0.728,0.72,0.33,0.31
-4.979e+00,0.728,0.736,0.334,0.354
-4.977e+00,0.728,0.72,0.334,0.314
-4.975e+00,0.728,0.736,0.334,0.354
-4.973e+00,0.728,0.72,0.334,0.314
-4.971e+00,0.728,0.736,0.338,0.358
-4.969e+00,0.728,0.72,0.338,0.318
-4.967e+00,0.728,0.744,0.334,0.362
-4.965e+00,0.736,0.72,0.338,0.318
-4.964e+00,0.728,0.744,0.338,0.362
-4.962e+00,0.736,0.728,0.342,0.322
-4.960e+00,0.736,0.744,0.338,0.362
-4.958e+00,0.736,0.728,0.346,0.322
-4.956e+00,0.736,0.744,0.342,0.366
-4.954e+00,0.736,0.728,0.342,0.322
-4.952e+00,0.736,0.744,0.346,0.366
-4.950e+00,0.736,0.728,0.35,0.326
-4.948e+00,0.736,0.752,0.342,0.366
-4.946e+00,0.736,0.728,0.342,0.326
-4.944e+00,0.736,0.752,0.354,0.37
-4.942e+00,0.744,0.728,0.35,0.326
-4.940e+00,0.736,0.752,0.342,0.37
-4.939e+00,0.736,0.728,0.35,0.33
-4.937e+00,0.736,0.752,0.354,0.374
-4.935e+00,0.736,0.728,0.346,0.33
-4.933e+00,0.744,0.752,0.346,0.374
-4.931e+00,0.744,0.728,0.35,0.334
-4.929e+00,0.736,0.752,0.358,0.374
-4.927e+00,0.744,0.728,0.35,0.334
-4.925e+00,0.744,0.752,0.358,0.374
-4.923e+00,0.744,0.728,0.35,0.334
-4.921e+00,0.736,0.752,0.358,0.374
-4.919e+00,0.736,0.728,0.366,0.334
-4.917e+00,0.736,0.752,0.366,0.378
-4.916e+00,0.736,0.728,0.35,0.338
-4.914e+00,0.744,0.752,0.358,0.378
-4.912e+00,0.744,0.728,0.358,0.338
-4.910e+00,0.744,0.752,0.35,0.378
-4.908e+00,0.744,0.728,0.362,0.338
-4.906e+00,0.736,0.752,0.358,0.382
-4.904e+00,0.736,0.728,0.362,0.338
-4.902e+00,0.736,0.752,0.358,0.382
-4.900e+00,0.736,0.728,0.362,0.338
-4.898e+00,0.736,0.744,0.358,0.382
-4.896e+00,0.736,0.728,0.362,0.338
-4.894e+00,0.736,0.744,0.354,0.382
-4.892e+00,0.736,0.728,0.37,0.342
-4.891e+00,0.736,0.744,0.366,0.382
-4.889e+00,0.736,0.72,0.35,0.342
-4.887e+00,0.728,0.744,0.366,0.382
-4.885e+00,0.736,0.72,0.366,0.342
-4.883e+00,0.728,0.744,0.366,0.382
-4.881e+00,0.728,0.72,0.362,0.338
-4.879e+00,0.728,0.736,0.366,0.382
-4.877e+00,0.728,0.72,0.358,0.342
-4.875e+00,0.728,0.736,0.358,0.386
-4.873e+00,0.728,0.712,0.366,0.342
-4.871e+00,0.72,0.736,0.366,0.382
-4.869e+00,0.72,0.712,0.358,0.342
-4.868e+00,0.728,0.736,0.362,0.386
-4.866e+00,0.72,0.712,0.366,0.338
-4.864e+00,0.72,0.728,0.358,0.382
-4.862e+00,0.72,0.704,0.358,0.342
-4.860e+00,0.712,0.728,0.362,0.382
-4.858e+00,0.72,0.704,0.366,0.342
-4.856e+00,0.712,0.728,0.354,0.382
-4.854e+00,0.712,0.704,0.358,0.338
-4.852e+00,0.712,0.72,0.366,0.382
-4.850e+00,0.712,0.696,0.362,0.338
-4.848e+00,0.712,0.72,0.358,0.382
-4.846e+00,0.704,0.696,0.366,0.338
-4.844e+00,0.704,0.72,0.354,0.382
-4.843e+00,0.704,0.696,0.358,0.338
-4.841e+00,0.704,0.712,0.366,0.382
-4.839e+00,0.704,0.688,0.362,0.334
-4.837e+00,0.696,0.712,0.358,0.382
-4.835e+00,0.696,0.688,0.362,0.338
-4.833e+00,0.696,0.704,0.37,0.382
-4.831e+00,0.696,0.68,0.366,0.334
-4.829e+00,0.688,0.704,0.358,0.378
-4.827e+00,0.688,0.68,0.362,0.334
-4.825e+00,0.688,0.696,0.358,0.378
-4.823e+00,0.68,0.672,0.358,0.334
-4.821e+00,0.688,0.696,0.358,0.378
-4.820e+00,0.68,0.672,0.358,0.33
-4.818e+00,0.68,0.696,0.358,0.378
-4.816e+00,0.68,0.664,0.358,0.334
-4.814e+00,0.672,0.688,0.362,0.374
-4.812e+00,0.68,0.664,0.358,0.33
-4.810e+00,0.672,0.68,0.35,0.374
-4.808e+00,0.672,0.656,0.358,0.33
-4.806e+00,0.664,0.68,0.358,0.37
-4.804e+00,0.664,0.648,0.346,0.33
-4.802e+00,0.656,0.672,0.35,0.374
-4.800e+00,0.656,0.648,0.35,0.33
-4.798e+00,0.656,0.672,0.338,0.37
-4.796e+00,0.648,0.64,0.342,0.326
-4.795e+00,0.648,0.664,0.35,0.366
-4.793e+00,0.648,0.632,0.342,0.322
-4.791e+00,0.648,0.656,0.35,0.366
-4.789e+00,0.64,0.632,0.346,0.322
-4.787e+00,0.64,0.656,0.35,0.366
-4.785e+00,0.632,0.624,0.342,0.322
-4.783e+00,0.64,0.648,0.338,0.362
-4.781e+00,0.632,0.624,0.346,0.318
-4.779e+00,0.632,0.64,0.338,0.362
-4.777e+00,0.624,0.616,0.338,0.318
-4.775e+00,0.624,0.64,0.342,0.358
-4.773e+00,0.624,0.608,0.342,0.314
-4.772e+00,0.624,0.632,0.334,0.358
-4.770e+00,0.616,0.6,0.338,0.314
-4.768e+00,0.616,0.624,0.338,0.358
-4.766e+00,0.608,0.592,0.334,0.31
-4.764e+00,0.608,0.624,0.33,0.354
-4.762e+00,0.6,0.592,0.33,0.31
-4.760e+00,0.6,0.616,0.33,0.35
-4.758e+00,0.6,0.584,0.326,0.306
-4.756e+00,0.592,0.608,0.326,0.354
-4.754e+00,0.592,0.576,0.33,0.302
-4.752e+00,0.584,0.6,0.322,0.35
-4.750e+00,0.584,0.568,0.322,0.302
-4.748e+00,0.584,0.592,0.322,0.342
-4.747e+00,0.576,0.56,0.318,0.298
-4.745e+00,0.576,0.584,0.314,0.342
-4.743e+00,0.568,0.56,0.31,0.298
-4.741e+00,0.568,0.584,0.318,0.338
-4.739e+00,0.568,0.544,0.31,0.294
-4.737e+00,0.56,0.576,0.314,0.338
-4.735e+00,0.56,0.544,0.314,0.29
-4.733e+00,0.552,0.568,0.31,0.334
-4.731e+00,0.552,0.536,0.314,0.29
-4.729e+00,0.552,0.56,0.31,0.33
-4.727e+00,0.544,0.528,0.31,0.286
-4.725e+00,0.544,0.552,0.306,0.326
-4.724e+00,0.536,0.52,0.306,0.282
-4.722e+00,0.536,0.544,0.306,0.326
-4.720e+00,0.528,0.512,0.298,0.278
-4.718e+00,0.52,0.536,0.298,0.322
-4.716e+00,0.52,0.504,0.306,0.278
-4.714e+00,0.52,0.528,0.294,0.322
-4.712e+00,0.512,0.496,0.294,0.274
-4.710e+00,0.512,0.52,0.294,0.318
-4.708e+00,0.504,0.488,0.298,0.274
-4.706e+00,0.496,0.512,0.298,0.314
-4.704e+00,0.496,0.48,0.298,0.266
-4.702e+00,0.496,0.504,0.286,0.314
-4.700e+00,0.488,0.472,0.286,0.266
-4.699e+00,0.48,0.496,0.286,0.306
-4.697e+00,0.48,0.464,0.286,0.262
-4.695e+00,0.472,0.488,0.282,0.306
-4.693e+00,0.48,0.456,0.278,0.254
-4.691e+00,0.464,0.48,0.29,0.302
-4.689e+00,0.464,0.448,0.278,0.254
-4.687e+00,0.464,0.472,0.27,0.302
-4.685e+00,0.456,0.44,0.274,0.25
-4.683e+00,0.456,0.464,0.278,0.294
-4.681e+00,0.448,0.432,0.27,0.246
-4.679e+00,0.44,0.456,0.274,0.29
-4.677e+00,0.44,0.424,0.27,0.242
-4.675e+00,0.432,0.448,0.27,0.29
-4.674e+00,0.432,0.416,0.27,0.242
-4.672e+00,0.424,0.44,0.262,0.286
-4.670e+00,0.424,0.408,0.266,0.234
-4.668e+00,0.416,0.432,0.258,0.282
-4.666e+00,0.416,0.4,0.254,0.234
-4.664e+00,0.408,0.424,0.254,0.274
-4.662e+00,0.408,0.384,0.25,0.23
-4.660e+00,0.4,0.416,0.246,0.274
-4.658e+00,0.392,0.376,0.254,0.222
-4.656e+00,0.392,0.4,0.246,0.27
-4.654e+00,0.384,0.368,0.238,0.222
-4.652e+00,0.376,0.392,0.238,0.266
-4.651e+00,0.376,0.36,0.238,0.214
-4.649e+00,0.376,0.384,0.226,0.258
-4.647e+00,0.368,0.352,0.238,0.214
-4.645e+00,0.36,0.376,0.238,0.254
-4.643e+00,0.36,0.344,0.226,0.206
-4.641e+00,0.352,0.368,0.23,0.25
-4.639e+00,0.352,0.328,0.23,0.202
-4.637e+00,0.344,0.36,0.222,0.246
-4.635e+00,0.336,0.32,0.222,0.202
-4.633e+00,0.336,0.344,0.226,0.246
-4.631e+00,0.328,0.312,0.218,0.194
-4.629e+00,0.328,0.336,0.218,0.238
-4.627e+00,0.32,0.296,0.21,0.19
-4.626e+00,0.312,0.328,0.206,0.234
-4.624e+00,0.304,0.288,0.206,0.186
-4.622e+00,0.304,0.32,0.198,0.23
-4.620e+00,0.296,0.28,0.21,0.182
-4.618e+00,0.288,0.304,0.206,0.226
-4.616e+00,0.288,0.272,0.202,0.178
-4.614e+00,0.28,0.296,0.194,0.222
-4.612e+00,0.28,0.264,0.202,0.17
-4.610e+00,0.272,0.288,0.198,0.218
-4.608e+00,0.272,0.248,0.194,0.17
-4.606e+00,0.264,0.28,0.198,0.214
-4.604e+00,0.256,0.24,0.178,0.162
-4.603e+00,0.248,0.264,0.182,0.21
-4.601e+00,0.248,0.232,0.182,0.162
-4.599e+00,0.248,0.256,0.186,0.202
-4.597e+00,0.24,0.216,0.174,0.154
-4.595e+00,0.232,0.248,0.178,0.202
-4.593e+00,0.224,0.208,0.174,0.15
-4.591e+00,0.224,0.232,0.178,0.194
-4.589e+00,0.216,0.2,0.17,0.146
-4.587e+00,0.208,0.224,0.166,0.19
-4.585e+00,0.208,0.184,0.17,0.142
-4.583e+00,0.2,0.216,0.162,0.186
-4.581e+00,0.2,0.176,0.166,0.138
-4.579e+00,0.192,0.2,0.162,0.182
-4.578e+00,0.184,0.168,0.15,0.13
-4.576e+00,0.184,0.192,0.146,0.174
-4.574e+00,0.176,0.152,0.146,0.126
-4.572e+00,0.168,0.184,0.146,0.17
-4.570e+00,0.16,0.144,0.138,0.122
-4.568e+00,0.16,0.176,0.15,0.166
-4.566e+00,0.152,0.136,0.142,0.118
-4.564e+00,0.144,0.16,0.13,0.162
-4.562e+00,0.144,0.12,0.134,0.114
-4.560e+00,0.136,0.152,0.13,0.158
-4.558e+00,0.128,0.112,0.13,0.106
-4.556e+00,0.128,0.144,0.122,0.15
-4.555e+00,0.12,0.104,0.134,0.102
-4.553e+00,0.12,0.128,0.118,0.146
-4.551e+00,0.112,0.096,0.114,0.094
-4.549e+00,0.104,0.12,0.122,0.142
-4.547e+00,0.104,0.088,0.122,0.09
-4.545e+00,0.096,0.112,0.114,0.138
-4.543e+00,0.096,0.072,0.106,0.086
-4.541e+00,0.088,0.104,0.11,0.134
-4.539e+00,0.08,0.064,0.102,0.078
-4.537e+00,0.072,0.088,0.094,0.126
-4.535e+00,0.072,0.048,0.106,0.074
-4.533e+00,0.072,0.08,0.098,0.122
-4.531e+00,0.064,0.04,0.094,0.07
-4.530e+00,0.056,0.072,0.098,0.118
-4.528e+00,0.048,0.032,0.09,0.066
-4.526e+00,0.048,0.056,0.078,0.11
-4.524e+00,0.04,0.024,0.086,0.062
