Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.736,0.728,0.282,0.262
-4.998e+00,0.736,0.752,0.278,0.302
-4.996e+00,0.736,0.728,0.286,0.262
-4.994e+00,0.744,0.752,0.278,0.302
-4.992e+00,0.744,0.728,0.282,0.262
-4.990e+00,0.736,0.752,0.286,0.302
-4.988e+00,0.736,0.728,0.278,0.262
-4.987e+00,0.744,0.752,0.286,0.306
-4.985e+00,0.744,0.728,0.278,0.262
-4.983e+00,0.736,0.752,0.27,0.306
-4.981e+00,0.736,0.728,0.286,0.262
-4.979e+00,0.736,0.752,0.282,0.302
-4.977e+00,0.736,0.728,0.286,0.262
-4.975e+00,0.736,0.752,0.282,0.302
-4.973e+00,0.736,0.728,0.286,0.262
-4.971e+00,0.736,0.752,0.282,0.306
-4.969e+00,0.736,0.728,0.282,0.266
-4.967e+00,0.736,0.744,0.286,0.306
-4.965e+00,0.736,0.728,0.278,0.262
-4.964e+00,0.736,0.744,0.274,0.306
-4.962e+00,0.736,0.728,0.286,0.262
-4.960e+00,0.736,0.744,0.282,0.306
-4.958e+00,0.736,0.72,0.274,0.262
-4.956e+00,0.736,0.744,0.282,0.306
-4.954e+00,0.728,0.72,0.286,0.262
-4.952e+00,0.728,0.744,0.282,0.302
-4.950e+00,0.728,0.72,0.278,0.262
-4.948e+00,0.728,0.744,0.282,0.302
-4.946e+00,0.736,0.72,0.278,0.262
-4.944e+00,0.728,0.736,0.286,0.306
-4.942e+00,0.728,0.72,0.294,0.262
-4.940e+00,0.728,0.736,0.282,0.302
-4.939e+00,0.728,0.72,0.282,0.262
-4.937e+00,0.728,0.736,0.282,0.302
-4.935e+00,0.728,0.712,0.286,0.262
-4.933e+00,0.728,0.736,0.286,0.306
-4.931e+00,0.72,0.712,0.286,0.262
-4.929e+00,0.72,0.728,0.286,0.306
-4.927e+00,0.72,0.712,0.286,0.262
-4.925e+00,0.72,0.728,0.278,0.302
-4.923e+00,0.72,0.712,0.282,0.262
-4.921e+00,0.72,0.728,0.282,0.302
-4.919e+00,0.712,0.704,0.278,0.262
-4.917e+00,0.712,0.728,0.282,0.302
-4.916e+00,0.712,0.704,0.282,0.262
-4.914e+00,0.712,0.72,0.274,0.302
-4.912e+00,0.712,0.704,0.278,0.262
-4.910e+00,0.712,0.72,0.282,0.302
-4.908e+00,0.712,0.696,0.278,0.258
-4.906e+00,0.712,0.72,0.278,0.302
-4.904e+00,0.712,0.696,0.278,0.258
-4.902e+00,0.704,0.72,0.278,0.302
-4.900e+00,0.704,0.696,0.278,0.258
-4.898e+00,0.704,0.712,0.278,0.302
-4.896e+00,0.704,0.688,0.274,0.258
-4.894e+00,0.704,0.712,0.278,0.302
-4.892e+00,0.696,0.688,0.278,0.258
-4.891e+00,0.696,0.704,0.278,0.298
-4.889e+00,0.696,0.68,0.278,0.258
-4.887e+00,0.696,0.704,0.266,0.298
-4.885e+00,0.696,0.68,0.278,0.254
-4.883e+00,0.688,0.704,0.282,0.298
-4.881e+00,0.688,0.68,0.27,0.254
-4.879e+00,0.688,0.696,0.274,0.298
-4.877e+00,0.688,0.672,0.278,0.254
-4.875e+00,0.688,0.696,0.282,0.294
-4.873e+00,0.68,0.672,0.274,0.254
-4.871e+00,0.68,0.688,0.27,0.298
-4.869e+00,0.68,0.664,0.278,0.25
-4.868e+00,0.68,0.688,0.27,0.294
-4.866e+00,0.68,0.664,0.27,0.25
-4.864e+00,0.672,0.688,0.278,0.294
-4.862e+00,0.672,0.656,0.274,0.25
-4.860e+00,0.672,0.68,0.27,0.29
-4.858e+00,0.672,0.656,0.274,0.25
-4.856e+00,0.664,0.68,0.274,0.294
-4.854e+00,0.664,0.648,0.266,0.246
-4.852e+00,0.664,0.672,0.262,0.29
-4.850e+00,0.664,0.648,0.27,0.246
-4.848e+00,0.656,0.672,0.258,0.286
-4.846e+00,0.656,0.64,0.274,0.242
-4.844e+00,0.648,0.664,0.266,0.286
-4.843e+00,0.648,0.64,0.274,0.242
-4.841e+00,0.648,0.664,0.262,0.286
-4.839e+00,0.648,0.632,0.266,0.242
-4.837e+00,0.64,0.656,0.27,0.282
-4.835e+00,0.64,0.632,0.258,0.242
-4.833e+00,0.64,0.656,0.262,0.282
-4.831e+00,0.64,0.624,0.262,0.238
-4.829e+00,0.64,0.648,0.258,0.282
-4.827e+00,0.632,0.624,0.254,0.234
-4.825e+00,0.632,0.64,0.258,0.278
-4.823e+00,0.624,0.616,0.262,0.238
-4.821e+00,0.624,0.64,0.258,0.278
-4.820e+00,0.624,0.608,0.262,0.234
-4.818e+00,0.624,0.632,0.258,0.278
-4.816e+00,0.616,0.608,0.258,0.234
-4.814e+00,0.616,0.624,0.25,0.274
-4.812e+00,0.616,0.6,0.254,0.234
-4.810e+00,0.608,0.624,0.25,0.274
-4.808e+00,0.608,0.592,0.25,0.23
-4.806e+00,0.608,0.616,0.254,0.27
-4.804e+00,0.6,0.592,0.25,0.23
-4.802e+00,0.6,0.616,0.246,0.27
-4.800e+00,0.6,0.584,0.246,0.226
-4.798e+00,0.592,0.608,0.254,0.27
-4.796e+00,0.592,0.576,0.242,0.226
-4.795e+00,0.592,0.608,0.242,0.27
-4.793e+00,0.592,0.576,0.246,0.222
-4.791e+00,0.584,0.6,0.238,0.266
-4.789e+00,0.576,0.568,0.246,0.222
-4.787e+00,0.576,0.592,0.246,0.266
-4.785e+00,0.576,0.56,0.242,0.222
-4.783e+00,0.576,0.584,0.226,0.262
-4.781e+00,0.576,0.56,0.242,0.218
-4.779e+00,0.568,0.576,0.246,0.262
-4.777e+00,0.56,0.552,0.234,0.218
-4.775e+00,0.56,0.576,0.234,0.262
-4.773e+00,0.56,0.544,0.238,0.218
-4.772e+00,0.56,0.568,0.238,0.258
-4.770e+00,0.552,0.536,0.23,0.214
-4.768e+00,0.552,0.56,0.238,0.258
-4.766e+00,0.544,0.536,0.238,0.21
-4.764e+00,0.544,0.552,0.238,0.254
-4.762e+00,0.544,0.528,0.23,0.21
-4.760e+00,0.536,0.552,0.23,0.25
-4.758e+00,0.536,0.52,0.226,0.206
-4.756e+00,0.536,0.544,0.226,0.25
-4.754e+00,0.528,0.512,0.23,0.206
-4.752e+00,0.528,0.536,0.226,0.246
-4.750e+00,0.52,0.512,0.222,0.202
-4.748e+00,0.52,0.536,0.222,0.246
-4.747e+00,0.52,0.504,0.23,0.202
-4.745e+00,0.52,0.528,0.214,0.246
-4.743e+00,0.512,0.496,0.218,0.198
-4.741e+00,0.512,0.52,0.218,0.242
-4.739e+00,0.504,0.488,0.21,0.194
-4.737e+00,0.496,0.512,0.218,0.238
-4.735e+00,0.496,0.48,0.21,0.194
-4.733e+00,0.496,0.504,0.218,0.238
-4.731e+00,0.488,0.472,0.21,0.194
-4.729e+00,0.488,0.504,0.21,0.234
-4.727e+00,0.488,0.472,0.218,0.19
-4.725e+00,0.48,0.496,0.202,0.23
-4.724e+00,0.48,0.464,0.206,0.186
-4.722e+00,0.48,0.488,0.214,0.23
-4.720e+00,0.472,0.456,0.206,0.182
-4.718e+00,0.464,0.48,0.202,0.226
-4.716e+00,0.464,0.448,0.202,0.182
-4.714e+00,0.464,0.472,0.21,0.222
-4.712e+00,0.456,0.44,0.202,0.178
-4.710e+00,0.448,0.472,0.202,0.222
-4.708e+00,0.448,0.432,0.202,0.178
-4.706e+00,0.448,0.456,0.202,0.222
-4.704e+00,0.44,0.424,0.186,0.174
-4.702e+00,0.44,0.448,0.198,0.218
-4.700e+00,0.432,0.416,0.19,0.17
-4.699e+00,0.432,0.448,0.19,0.214
-4.697e+00,0.432,0.416,0.19,0.17
-4.695e+00,0.424,0.44,0.186,0.214
-4.693e+00,0.424,0.408,0.186,0.166
-4.691e+00,0.416,0.432,0.186,0.21
-4.689e+00,0.416,0.4,0.182,0.166
-4.687e+00,0.408,0.424,0.186,0.206
-4.685e+00,0.408,0.392,0.178,0.162
-4.683e+00,0.4,0.416,0.178,0.206
-4.681e+00,0.4,0.384,0.182,0.162
-4.679e+00,0.392,0.408,0.174,0.202
-4.677e+00,0.392,0.376,0.174,0.158
-4.675e+00,0.384,0.4,0.182,0.198
-4.674e+00,0.376,0.368,0.182,0.154
-4.672e+00,0.376,0.392,0.17,0.198
-4.670e+00,0.376,0.36,0.174,0.15
-4.668e+00,0.376,0.384,0.162,0.194
-4.666e+00,0.368,0.352,0.178,0.15
-4.664e+00,0.36,0.376,0.166,0.19
-4.662e+00,0.36,0.344,0.174,0.142
-4.660e+00,0.352,0.368,0.162,0.19
-4.658e+00,0.352,0.336,0.166,0.142
-4.656e+00,0.344,0.36,0.166,0.186
-4.654e+00,0.344,0.328,0.158,0.138
-4.652e+00,0.344,0.352,0.15,0.182
-4.651e+00,0.336,0.32,0.162,0.138
-4.649e+00,0.328,0.344,0.154,0.182
-4.647e+00,0.328,0.312,0.15,0.134
-4.645e+00,0.328,0.336,0.154,0.178
-4.643e+00,0.32,0.304,0.162,0.13
-4.641e+00,0.32,0.328,0.146,0.174
-4.639e+00,0.312,0.296,0.15,0.122
-4.637e+00,0.312,0.32,0.15,0.17
-4.635e+00,0.304,0.288,0.146,0.122
-4.633e+00,0.304,0.312,0.138,0.166
-4.631e+00,0.296,0.28,0.142,0.122
-4.629e+00,0.288,0.304,0.138,0.166
-4.627e+00,0.288,0.272,0.146,0.118
-4.626e+00,0.28,0.296,0.134,0.162
-4.624e+00,0.28,0.264,0.146,0.118
-4.622e+00,0.272,0.288,0.138,0.158
-4.620e+00,0.272,0.256,0.134,0.114
-4.618e+00,0.264,0.28,0.134,0.158
-4.616e+00,0.264,0.24,0.134,0.11
-4.614e+00,0.256,0.272,0.13,0.154
-4.612e+00,0.256,0.232,0.126,0.106
-4.610e+00,0.248,0.264,0.126,0.15
-4.608e+00,0.248,0.224,0.122,0.102
-4.606e+00,0.24,0.256,0.114,0.146
-4.604e+00,0.232,0.216,0.122,0.098
-4.603e+00,0.232,0.24,0.118,0.142
-4.601e+00,0.232,0.208,0.118,0.098
-4.599e+00,0.224,0.232,0.118,0.142
-4.597e+00,0.216,0.2,0.118,0.094
-4.595e+00,0.216,0.224,0.106,0.138
-4.593e+00,0.208,0.192,0.118,0.09
-4.591e+00,0.208,0.216,0.118,0.138
-4.589e+00,0.2,0.184,0.11,0.086
-4.587e+00,0.192,0.208,0.106,0.13
-4.585e+00,0.192,0.176,0.11,0.082
-4.583e+00,0.184,0.2,0.098,0.126
-4.581e+00,0.184,0.16,0.106,0.078
-4.579e+00,0.176,0.192,0.102,0.122
-4.578e+00,0.176,0.152,0.098,0.078
-4.576e+00,0.168,0.184,0.102,0.122
-4.574e+00,0.168,0.144,0.09,0.074
-4.572e+00,0.16,0.176,0.098,0.118
-4.570e+00,0.152,0.136,0.086,0.07
-4.568e+00,0.152,0.16,0.09,0.114
-4.566e+00,0.144,0.128,0.086,0.066
-4.564e+00,0.144,0.152,0.094,0.11
-4.562e+00,0.136,0.12,0.082,0.062
-4.560e+00,0.136,0.144,0.078,0.106
-4.558e+00,0.128,0.112,0.086,0.058
-4.556e+00,0.128,0.136,0.082,0.106
-4.555e+00,0.12,0.104,0.078,0.058
-4.553e+00,0.12,0.128,0.078,0.102
-4.551e+00,0.112,0.096,0.082,0.054
-4.549e+00,0.104,0.12,0.07,0.098
-4.547e+00,0.104,0.088,0.074,0.05
-4.545e+00,0.096,0.112,0.078,0.094
-4.543e+00,0.096,0.08,0.074,0.046
-4.541e+00,0.088,0.104,0.07,0.09
-4.539e+00,0.08,0.072,0.062,0.042
-4.537e+00,0.08,0.096,0.066,0.086
-4.535e+00,0.08,0.064,0.058,0.042
-4.533e+00,0.072,0.088,0.07,0.082
-4.531e+00,0.072,0.056,0.062,0.034
-4.530e+00,0.072,0.08,0.054,0.078
-4.528e+00,0.064,0.048,0.054,0.034
-4.526e+00,0.064,0.072,0.054,0.074
-4.524e+00,0.056,0.032,0.05,0.026
