Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-0.656,-0.664,-0.73,-0.81
-4.998e+00,-0.648,-0.64,-0.75,-0.69
-4.996e+00,-0.648,-0.656,-0.79,-0.83
-4.994e+00,-0.64,-0.632,-0.79,-0.73
-4.992e+00,-0.64,-0.648,-0.81,-0.87
-4.990e+00,-0.632,-0.624,-0.83,-0.77
-4.988e+00,-0.632,-0.64,-0.85,-0.91
-4.987e+00,-0.632,-0.616,-0.85,-0.81
-4.985e+00,-0.624,-0.632,-0.87,-0.95
-4.983e+00,-0.616,-0.608,-0.89,-0.83
-4.981e+00,-0.616,-0.624,-0.91,-0.97
-4.979e+00,-0.608,-0.6,-0.93,-0.87
-4.977e+00,-0.6,-0.616,-0.95,-1.01
-4.975e+00,-0.608,-0.592,-0.95,-0.89
-4.973e+00,-0.6,-0.608,-0.97,-1.03
-4.971e+00,-0.592,-0.584,-0.99,-0.93
-4.969e+00,-0.584,-0.6,-1.01,-1.07
-4.967e+00,-0.584,-0.568,-1.03,-0.97
-4.965e+00,-0.584,-0.592,-1.03,-1.11
-4.964e+00,-0.576,-0.56,-1.07,-0.99
-4.962e+00,-0.568,-0.584,-1.07,-1.13
-4.960e+00,-0.56,-0.552,-1.09,-1.03
-4.958e+00,-0.56,-0.568,-1.11,-1.17
-4.956e+00,-0.56,-0.544,-1.13,-1.05
-4.954e+00,-0.552,-0.56,-1.13,-1.19
-4.952e+00,-0.544,-0.536,-1.15,-1.09
-4.950e+00,-0.544,-0.552,-1.17,-1.23
-4.948e+00,-0.536,-0.52,-1.19,-1.11
-4.946e+00,-0.528,-0.536,-1.19,-1.25
-4.944e+00,-0.52,-0.512,-1.23,-1.15
-4.942e+00,-0.52,-0.528,-1.23,-1.29
-4.940e+00,-0.512,-0.504,-1.23,-1.19
-4.939e+00,-0.504,-0.52,-1.27,-1.31
-4.937e+00,-0.504,-0.488,-1.27,-1.21
-4.935e+00,-0.496,-0.504,-1.27,-1.35
-4.933e+00,-0.496,-0.48,-1.29,-1.23
-4.931e+00,-0.488,-0.496,-1.31,-1.37
-4.929e+00,-0.48,-0.464,-1.31,-1.27
-4.927e+00,-0.472,-0.48,-1.33,-1.39
-4.925e+00,-0.464,-0.456,-1.35,-1.29
-4.923e+00,-0.464,-0.472,-1.35,-1.43
-4.921e+00,-0.456,-0.44,-1.39,-1.31
-4.919e+00,-0.448,-0.464,-1.39,-1.45
-4.917e+00,-0.448,-0.432,-1.41,-1.35
-4.916e+00,-0.44,-0.448,-1.41,-1.47
-4.914e+00,-0.432,-0.416,-1.43,-1.37
-4.912e+00,-0.424,-0.432,-1.43,-1.49
-4.910e+00,-0.416,-0.408,-1.45,-1.39
-4.908e+00,-0.416,-0.424,-1.47,-1.53
-4.906e+00,-0.408,-0.392,-1.49,-1.41
-4.904e+00,-0.4,-0.408,-1.49,-1.55
-4.902e+00,-0.392,-0.384,-1.49,-1.45
-4.900e+00,-0.392,-0.4,-1.51,-1.57
-4.898e+00,-0.384,-0.368,-1.53,-1.47
-4.896e+00,-0.376,-0.384,-1.53,-1.59
-4.894e+00,-0.368,-0.352,-1.55,-1.49
-4.892e+00,-0.36,-0.368,-1.57,-1.61
-4.891e+00,-0.352,-0.344,-1.57,-1.51
-4.889e+00,-0.352,-0.36,-1.55,-1.63
-4.887e+00,-0.344,-0.328,-1.59,-1.53
-4.885e+00,-0.336,-0.344,-1.61,-1.65
-4.883e+00,-0.336,-0.312,-1.61,-1.55
-4.881e+00,-0.32,-0.328,-1.63,-1.67
-4.879e+00,-0.312,-0.304,-1.63,-1.57
-4.877e+00,-0.304,-0.32,-1.65,-1.69
-4.875e+00,-0.296,-0.288,-1.65,-1.59
-4.873e+00,-0.288,-0.304,-1.65,-1.71
-4.871e+00,-0.288,-0.272,-1.67,-1.61
-4.869e+00,-0.28,-0.288,-1.67,-1.71
-4.868e+00,-0.272,-0.256,-1.69,-1.63
-4.866e+00,-0.264,-0.272,-1.69,-1.73
-4.864e+00,-0.264,-0.24,-1.71,-1.65
-4.862e+00,-0.24,-0.256,-1.71,-1.75
-4.860e+00,-0.24,-0.224,-1.71,-1.65
-4.858e+00,-0.232,-0.248,-1.73,-1.77
-4.856e+00,-0.232,-0.208,-1.71,-1.67
-4.854e+00,-0.224,-0.232,-1.73,-1.79
-4.852e+00,-0.208,-0.2,-1.73,-1.69
-4.850e+00,-0.208,-0.216,-1.75,-1.79
-4.848e+00,-0.192,-0.184,-1.75,-1.69
-4.846e+00,-0.192,-0.2,-1.77,-1.81
-4.844e+00,-0.184,-0.168,-1.77,-1.71
-4.843e+00,-0.176,-0.184,-1.77,-1.81
-4.841e+00,-0.168,-0.152,-1.79,-1.73
-4.839e+00,-0.16,-0.176,-1.79,-1.83
-4.837e+00,-0.152,-0.136,-1.77,-1.73
-4.835e+00,-0.144,-0.16,-1.79,-1.83
-4.833e+00,-0.136,-0.12,-1.81,-1.75
-4.831e+00,-0.128,-0.144,-1.79,-1.85
-4.829e+00,-0.12,-0.112,-1.81,-1.75
-4.827e+00,-0.12,-0.128,-1.81,-1.85
-4.825e+00,-0.112,-0.088,-1.81,-1.77
-4.823e+00,-0.096,-0.112,-1.83,-1.85
-4.821e+00,-0.096,-0.08,-1.83,-1.77
-4.820e+00,-0.088,-0.096,-1.81,-1.87
-4.818e+00,-0.08,-0.064,-1.83,-1.79
-4.816e+00,-0.072,-0.08,-1.81,-1.87
-4.814e+00,-0.064,-0.048,-1.83,-1.79
-4.812e+00,-0.056,-0.064,-1.85,-1.89
-4.810e+00,-0.048,-0.032,-1.85,-1.79
-4.808e+00,-0.04,-0.056,-1.85,-1.89
-4.806e+00,-0.032,-0.016,-1.85,-1.79
-4.804e+00,-0.024,-0.032,-1.85,-1.89
-4.802e+00,-0.016,-1.78814e-10,-1.85,-1.81
-4.800e+00,-0.008,-0.024,-1.85,-1.89
-4.798e+00,-0.008,0.008,-1.87,-1.81
-4.796e+00,0.008,-0.008,-1.87,-1.89
-4.795e+00,0.008,0.024,-1.87,-1.81
-4.793e+00,0.016,0.008,-1.87,-1.89
-4.791e+00,0.032,0.04,-1.87,-1.81
-4.789e+00,0.032,0.024,-1.87,-1.91
-4.787e+00,0.04,0.056,-1.87,-1.81
-4.785e+00,0.048,0.04,-1.85,-1.89
-4.783e+00,0.056,0.072,-1.85,-1.81
-4.781e+00,0.064,0.056,-1.87,-1.89
-4.779e+00,0.072,0.08,-1.87,-1.81
-4.777e+00,0.08,0.072,-1.87,-1.89
-4.775e+00,0.088,0.104,-1.85,-1.81
-4.773e+00,0.096,0.088,-1.83,-1.89
-4.772e+00,0.104,0.12,-1.85,-1.81
-4.770e+00,0.112,0.096,-1.87,-1.89
-4.768e+00,0.12,0.136,-1.85,-1.81
-4.766e+00,0.128,0.12,-1.83,-1.89
-4.764e+00,0.128,0.144,-1.85,-1.81
-4.762e+00,0.136,0.128,-1.85,-1.89
-4.760e+00,0.144,0.16,-1.85,-1.79
-4.758e+00,0.152,0.144,-1.85,-1.87
-4.756e+00,0.16,0.176,-1.85,-1.79
-4.754e+00,0.168,0.16,-1.85,-1.87
-4.752e+00,0.176,0.192,-1.83,-1.79
-4.750e+00,0.176,0.176,-1.81,-1.87
-4.748e+00,0.192,0.208,-1.83,-1.77
-4.747e+00,0.2,0.192,-1.81,-1.85
-4.745e+00,0.2,0.224,-1.83,-1.77
-4.743e+00,0.216,0.208,-1.81,-1.85
-4.741e+00,0.224,0.24,-1.81,-1.77
-4.739e+00,0.232,0.216,-1.79,-1.85
-4.737e+00,0.24,0.256,-1.81,-1.75
-4.735e+00,0.248,0.232,-1.81,-1.83
-4.733e+00,0.248,0.264,-1.79,-1.75
-4.731e+00,0.256,0.248,-1.79,-1.83
-4.729e+00,0.264,0.28,-1.79,-1.73
-4.727e+00,0.272,0.264,-1.79,-1.81
-4.725e+00,0.28,0.296,-1.77,-1.71
-4.724e+00,0.288,0.28,-1.77,-1.79
-4.722e+00,0.296,0.312,-1.77,-1.71
-4.720e+00,0.304,0.288,-1.77,-1.79
-4.718e+00,0.312,0.32,-1.77,-1.69
-4.716e+00,0.32,0.304,-1.75,-1.77
-4.714e+00,0.328,0.336,-1.73,-1.69
-4.712e+00,0.328,0.32,-1.73,-1.77
-4.710e+00,0.336,0.352,-1.73,-1.67
-4.708e+00,0.344,0.336,-1.73,-1.75
-4.706e+00,0.352,0.368,-1.71,-1.65
-4.704e+00,0.36,0.352,-1.69,-1.73
-4.702e+00,0.36,0.376,-1.71,-1.63
-4.700e+00,0.368,0.36,-1.67,-1.71
-4.699e+00,0.384,0.392,-1.67,-1.61
-4.697e+00,0.384,0.376,-1.67,-1.71
-4.695e+00,0.392,0.408,-1.67,-1.59
-4.693e+00,0.392,0.392,-1.63,-1.69
-4.691e+00,0.408,0.416,-1.63,-1.59
-4.689e+00,0.416,0.4,-1.65,-1.65
-4.687e+00,0.416,0.432,-1.63,-1.57
-4.685e+00,0.424,0.416,-1.61,-1.65
-4.683e+00,0.432,0.448,-1.59,-1.55
-4.681e+00,0.44,0.424,-1.57,-1.63
-4.679e+00,0.44,0.456,-1.59,-1.53
-4.677e+00,0.448,0.44,-1.59,-1.61
-4.675e+00,0.456,0.472,-1.57,-1.51
-4.674e+00,0.464,0.456,-1.55,-1.59
-4.672e+00,0.464,0.48,-1.53,-1.49
-4.670e+00,0.472,0.464,-1.53,-1.55
-4.668e+00,0.48,0.488,-1.53,-1.45
-4.666e+00,0.488,0.472,-1.51,-1.53
-4.664e+00,0.488,0.504,-1.49,-1.43
-4.662e+00,0.496,0.488,-1.47,-1.51
-4.660e+00,0.504,0.512,-1.47,-1.41
-4.658e+00,0.504,0.496,-1.45,-1.49
-4.656e+00,0.512,0.528,-1.45,-1.39
-4.654e+00,0.52,0.504,-1.43,-1.47
-4.652e+00,0.528,0.536,-1.41,-1.35
-4.651e+00,0.528,0.52,-1.41,-1.43
-4.649e+00,0.536,0.544,-1.39,-1.33
-4.647e+00,0.536,0.528,-1.37,-1.41
-4.645e+00,0.544,0.56,-1.37,-1.31
-4.643e+00,0.544,0.544,-1.37,-1.39
-4.641e+00,0.56,0.568,-1.33,-1.29
-4.639e+00,0.56,0.552,-1.33,-1.35
-4.637e+00,0.568,0.576,-1.31,-1.25
-4.635e+00,0.568,0.56,-1.29,-1.33
-4.633e+00,0.576,0.584,-1.29,-1.23
-4.631e+00,0.576,0.568,-1.27,-1.31
-4.629e+00,0.584,0.6,-1.25,-1.19
-4.627e+00,0.584,0.576,-1.23,-1.27
-4.626e+00,0.592,0.608,-1.23,-1.17
-4.624e+00,0.6,0.592,-1.21,-1.25
-4.622e+00,0.6,0.616,-1.19,-1.13
-4.620e+00,0.608,0.6,-1.19,-1.21
-4.618e+00,0.608,0.624,-1.19,-1.11
-4.616e+00,0.608,0.608,-1.13,-1.19
-4.614e+00,0.624,0.632,-1.15,-1.07
-4.612e+00,0.624,0.616,-1.13,-1.15
-4.610e+00,0.632,0.64,-1.11,-1.05
-4.608e+00,0.632,0.624,-1.09,-1.13
-4.606e+00,0.64,0.648,-1.09,-1.01
-4.604e+00,0.64,0.632,-1.05,-1.09
-4.603e+00,0.64,0.656,-1.05,-0.99
-4.601e+00,0.648,0.64,-1.03,-1.07
-4.599e+00,0.648,0.664,-1.01,-0.95
-4.597e+00,0.656,0.648,-1.01,-1.03
-4.595e+00,0.656,0.672,-0.97,-0.91
-4.593e+00,0.664,0.656,-0.97,-0.99
-4.591e+00,0.664,0.68,-0.95,-0.89
-4.589e+00,0.672,0.664,-0.93,-0.97
-4.587e+00,0.672,0.68,-0.91,-0.85
-4.585e+00,0.672,0.664,-0.91,-0.93
-4.583e+00,0.672,0.688,-0.87,-0.83
-4.581e+00,0.688,0.672,-0.87,-0.89
-4.579e+00,0.688,0.696,-0.85,-0.79
-4.578e+00,0.688,0.68,-0.83,-0.85
