Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,0.2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,0.672,0.656,0.388,0.364
-4.998e+00,0.672,0.688,0.396,0.42
-4.996e+00,0.672,0.664,0.388,0.372
-4.994e+00,0.68,0.688,0.396,0.42
-4.992e+00,0.68,0.672,0.396,0.38
-4.990e+00,0.68,0.696,0.412,0.428
-4.988e+00,0.688,0.672,0.404,0.388
-4.987e+00,0.688,0.696,0.404,0.436
-4.985e+00,0.696,0.68,0.412,0.388
-4.983e+00,0.696,0.704,0.428,0.444
-4.981e+00,0.696,0.688,0.412,0.396
-4.979e+00,0.696,0.704,0.42,0.444
-4.977e+00,0.696,0.688,0.428,0.404
-4.975e+00,0.696,0.712,0.428,0.452
-4.973e+00,0.704,0.696,0.428,0.404
-4.971e+00,0.712,0.712,0.436,0.46
-4.969e+00,0.704,0.696,0.452,0.412
-4.967e+00,0.712,0.72,0.428,0.468
-4.965e+00,0.712,0.704,0.444,0.42
-4.964e+00,0.704,0.72,0.452,0.468
-4.962e+00,0.712,0.704,0.444,0.428
-4.960e+00,0.72,0.728,0.452,0.476
-4.958e+00,0.72,0.712,0.452,0.436
-4.956e+00,0.72,0.728,0.452,0.476
-4.954e+00,0.72,0.712,0.452,0.436
-4.952e+00,0.72,0.728,0.46,0.484
-4.950e+00,0.72,0.712,0.46,0.444
-4.948e+00,0.72,0.736,0.46,0.492
-4.946e+00,0.728,0.72,0.46,0.444
-4.944e+00,0.728,0.736,0.476,0.492
-4.942e+00,0.728,0.72,0.476,0.452
-4.940e+00,0.728,0.736,0.476,0.5
-4.939e+00,0.728,0.72,0.484,0.452
-4.937e+00,0.728,0.744,0.484,0.5
-4.935e+00,0.728,0.72,0.484,0.46
-4.933e+00,0.736,0.744,0.476,0.508
-4.931e+00,0.728,0.728,0.492,0.468
-4.929e+00,0.736,0.744,0.492,0.516
-4.927e+00,0.736,0.728,0.484,0.468
-4.925e+00,0.736,0.744,0.492,0.516
-4.923e+00,0.736,0.728,0.5,0.476
-4.921e+00,0.736,0.752,0.492,0.524
-4.919e+00,0.736,0.728,0.5,0.476
-4.917e+00,0.736,0.752,0.492,0.524
-4.916e+00,0.736,0.728,0.5,0.484
-4.914e+00,0.736,0.752,0.508,0.524
-4.912e+00,0.744,0.728,0.508,0.484
-4.910e+00,0.736,0.752,0.508,0.532
-4.908e+00,0.736,0.728,0.508,0.484
-4.906e+00,0.736,0.752,0.516,0.532
-4.904e+00,0.736,0.728,0.516,0.492
-4.902e+00,0.736,0.752,0.508,0.54
-4.900e+00,0.744,0.728,0.508,0.492
-4.898e+00,0.744,0.752,0.532,0.54
-4.896e+00,0.736,0.728,0.516,0.5
-4.894e+00,0.736,0.752,0.516,0.548
-4.892e+00,0.744,0.728,0.524,0.5
-4.891e+00,0.744,0.752,0.524,0.548
-4.889e+00,0.744,0.728,0.524,0.5
-4.887e+00,0.736,0.752,0.524,0.548
-4.885e+00,0.736,0.728,0.524,0.508
-4.883e+00,0.736,0.752,0.524,0.556
-4.881e+00,0.744,0.728,0.532,0.508
-4.879e+00,0.736,0.752,0.532,0.556
-4.877e+00,0.736,0.728,0.524,0.508
-4.875e+00,0.736,0.744,0.532,0.556
-4.873e+00,0.736,0.728,0.54,0.508
-4.871e+00,0.736,0.744,0.532,0.556
-4.869e+00,0.736,0.728,0.524,0.516
-4.868e+00,0.736,0.744,0.54,0.556
-4.866e+00,0.736,0.72,0.54,0.516
-4.864e+00,0.728,0.744,0.532,0.564
-4.862e+00,0.728,0.72,0.532,0.516
-4.860e+00,0.728,0.736,0.54,0.564
-4.858e+00,0.728,0.72,0.54,0.516
-4.856e+00,0.728,0.736,0.54,0.564
-4.854e+00,0.728,0.72,0.54,0.516
-4.852e+00,0.728,0.736,0.54,0.564
-4.850e+00,0.728,0.712,0.54,0.516
-4.848e+00,0.72,0.736,0.548,0.564
-4.846e+00,0.72,0.712,0.54,0.524
-4.844e+00,0.72,0.728,0.54,0.564
-4.843e+00,0.72,0.712,0.54,0.524
-4.841e+00,0.72,0.728,0.548,0.564
-4.839e+00,0.72,0.704,0.54,0.524
-4.837e+00,0.72,0.728,0.54,0.564
-4.835e+00,0.712,0.704,0.54,0.524
-4.833e+00,0.712,0.72,0.548,0.564
-4.831e+00,0.704,0.696,0.54,0.524
-4.829e+00,0.712,0.72,0.548,0.564
-4.827e+00,0.704,0.696,0.548,0.524
-4.825e+00,0.704,0.712,0.548,0.564
-4.823e+00,0.704,0.688,0.548,0.524
-4.821e+00,0.696,0.712,0.548,0.572
-4.820e+00,0.704,0.688,0.548,0.524
-4.818e+00,0.696,0.704,0.54,0.564
-4.816e+00,0.696,0.68,0.54,0.524
-4.814e+00,0.688,0.704,0.548,0.564
-4.812e+00,0.688,0.672,0.54,0.516
-4.810e+00,0.688,0.696,0.54,0.564
-4.808e+00,0.688,0.672,0.548,0.524
-4.806e+00,0.68,0.696,0.54,0.564
-4.804e+00,0.68,0.664,0.54,0.516
-4.802e+00,0.672,0.688,0.556,0.564
-4.800e+00,0.672,0.664,0.54,0.516
-4.798e+00,0.672,0.688,0.54,0.564
-4.796e+00,0.664,0.656,0.54,0.516
-4.795e+00,0.664,0.68,0.548,0.564
-4.793e+00,0.656,0.648,0.54,0.516
-4.791e+00,0.664,0.672,0.54,0.564
-4.789e+00,0.656,0.64,0.548,0.516
-4.787e+00,0.656,0.664,0.54,0.556
-4.785e+00,0.656,0.64,0.532,0.516
-4.783e+00,0.648,0.664,0.532,0.556
-4.781e+00,0.64,0.632,0.532,0.508
-4.779e+00,0.64,0.656,0.54,0.556
-4.777e+00,0.64,0.624,0.524,0.508
-4.775e+00,0.64,0.648,0.532,0.556
-4.773e+00,0.632,0.616,0.532,0.508
-4.772e+00,0.632,0.64,0.532,0.548
-4.770e+00,0.624,0.608,0.524,0.508
-4.768e+00,0.624,0.632,0.532,0.548
-4.766e+00,0.624,0.6,0.524,0.5
-4.764e+00,0.616,0.624,0.524,0.548
-4.762e+00,0.608,0.6,0.524,0.5
-4.760e+00,0.608,0.624,0.532,0.548
-4.758e+00,0.6,0.592,0.516,0.5
-4.756e+00,0.6,0.616,0.524,0.54
-4.754e+00,0.6,0.584,0.516,0.492
-4.752e+00,0.592,0.608,0.516,0.54
-4.750e+00,0.592,0.576,0.516,0.492
-4.748e+00,0.584,0.6,0.516,0.532
-4.747e+00,0.584,0.568,0.5,0.484
-4.745e+00,0.584,0.592,0.508,0.532
-4.743e+00,0.568,0.56,0.508,0.484
-4.741e+00,0.568,0.584,0.508,0.532
-4.739e+00,0.568,0.552,0.5,0.484
-4.737e+00,0.56,0.576,0.508,0.524
-4.735e+00,0.56,0.544,0.5,0.476
-4.733e+00,0.56,0.568,0.492,0.524
-4.731e+00,0.552,0.536,0.492,0.468
-4.729e+00,0.544,0.56,0.5,0.516
-4.727e+00,0.544,0.528,0.492,0.468
-4.725e+00,0.536,0.552,0.5,0.516
-4.724e+00,0.536,0.512,0.492,0.46
-4.722e+00,0.528,0.544,0.492,0.516
-4.720e+00,0.528,0.504,0.484,0.46
-4.718e+00,0.528,0.536,0.476,0.508
-4.716e+00,0.52,0.504,0.476,0.452
-4.714e+00,0.512,0.528,0.468,0.5
-4.712e+00,0.504,0.488,0.476,0.452
-4.710e+00,0.504,0.52,0.476,0.5
-4.708e+00,0.504,0.48,0.468,0.444
-4.706e+00,0.496,0.504,0.468,0.492
-4.704e+00,0.488,0.472,0.468,0.444
-4.702e+00,0.48,0.496,0.468,0.492
-4.700e+00,0.48,0.464,0.46,0.436
-4.699e+00,0.472,0.488,0.46,0.484
-4.697e+00,0.464,0.448,0.452,0.428
-4.695e+00,0.464,0.48,0.444,0.476
-4.693e+00,0.464,0.44,0.444,0.428
-4.691e+00,0.456,0.472,0.452,0.476
-4.689e+00,0.456,0.432,0.452,0.42
-4.687e+00,0.448,0.464,0.444,0.468
-4.685e+00,0.44,0.424,0.444,0.412
-4.683e+00,0.44,0.448,0.436,0.46
-4.681e+00,0.432,0.408,0.436,0.412
-4.679e+00,0.424,0.44,0.436,0.46
-4.677e+00,0.424,0.4,0.436,0.404
-4.675e+00,0.416,0.432,0.42,0.452
-4.674e+00,0.408,0.392,0.42,0.396
-4.672e+00,0.408,0.416,0.428,0.444
-4.670e+00,0.4,0.376,0.42,0.388
-4.668e+00,0.392,0.408,0.412,0.444
-4.666e+00,0.384,0.368,0.42,0.388
-4.664e+00,0.384,0.392,0.412,0.436
-4.662e+00,0.376,0.36,0.396,0.38
-4.660e+00,0.368,0.384,0.404,0.428
-4.658e+00,0.368,0.344,0.404,0.372
-4.656e+00,0.368,0.376,0.404,0.42
-4.654e+00,0.352,0.336,0.396,0.364
-4.652e+00,0.352,0.36,0.396,0.42
-4.651e+00,0.344,0.32,0.388,0.364
-4.649e+00,0.336,0.352,0.388,0.412
-4.647e+00,0.336,0.312,0.38,0.356
-4.645e+00,0.328,0.344,0.38,0.404
-4.643e+00,0.32,0.296,0.38,0.348
-4.641e+00,0.32,0.328,0.364,0.396
-4.639e+00,0.304,0.288,0.372,0.34
-4.637e+00,0.304,0.32,0.364,0.396
-4.635e+00,0.296,0.28,0.364,0.332
-4.633e+00,0.296,0.304,0.364,0.388
-4.631e+00,0.288,0.264,0.356,0.324
-4.629e+00,0.28,0.296,0.34,0.38
-4.627e+00,0.272,0.248,0.348,0.316
-4.626e+00,0.272,0.28,0.34,0.372
-4.624e+00,0.264,0.24,0.34,0.308
-4.622e+00,0.256,0.272,0.324,0.364
-4.620e+00,0.248,0.232,0.332,0.3
-4.618e+00,0.248,0.256,0.324,0.356
-4.616e+00,0.24,0.216,0.316,0.3
-4.614e+00,0.232,0.248,0.316,0.348
-4.612e+00,0.224,0.208,0.316,0.292
-4.610e+00,0.216,0.232,0.3,0.34
-4.608e+00,0.216,0.192,0.308,0.284
-4.606e+00,0.208,0.224,0.308,0.332
-4.604e+00,0.2,0.184,0.3,0.276
-4.603e+00,0.2,0.208,0.3,0.324
-4.601e+00,0.192,0.168,0.292,0.268
-4.599e+00,0.184,0.2,0.284,0.316
-4.597e+00,0.176,0.152,0.284,0.26
-4.595e+00,0.176,0.184,0.276,0.308
-4.593e+00,0.16,0.144,0.276,0.252
-4.591e+00,0.16,0.176,0.284,0.3
-4.589e+00,0.152,0.136,0.26,0.244
-4.587e+00,0.144,0.16,0.284,0.292
-4.585e+00,0.144,0.12,0.268,0.236
-4.583e+00,0.136,0.152,0.252,0.284
-4.581e+00,0.128,0.104,0.252,0.228
-4.579e+00,0.12,0.136,0.252,0.276
-4.578e+00,0.12,0.096,0.236,0.22
-4.576e+00,0.112,0.12,0.236,0.268
-4.574e+00,0.104,0.088,0.244,0.212
-4.572e+00,0.096,0.112,0.236,0.26
-4.570e+00,0.096,0.072,0.236,0.196
-4.568e+00,0.088,0.104,0.22,0.252
-4.566e+00,0.08,0.056,0.22,0.196
-4.564e+00,0.064,0.088,0.212,0.244
-4.562e+00,0.072,0.048,0.212,0.18
-4.560e+00,0.064,0.072,0.212,0.236
-4.558e+00,0.056,0.032,0.196,0.172
-4.556e+00,0.048,0.064,0.196,0.228
-4.555e+00,0.048,0.024,0.196,0.164
-4.553e+00,0.04,0.056,0.188,0.212
-4.551e+00,0.032,0.008,0.196,0.156
-4.549e+00,0.024,0.04,0.18,0.212
-4.547e+00,0.016,-0.008,0.18,0.148
-4.545e+00,0.016,0.024,0.172,0.204
-4.543e+00,0.008,-0.016,0.164,0.14
-4.541e+00,-1.78814e-10,0.016,0.164,0.188
-4.539e+00,-0.008,-0.024,0.156,0.132
-4.537e+00,-0.016,-1.78814e-10,0.156,0.18
-4.535e+00,-0.016,-0.04,0.148,0.124
-4.533e+00,-0.024,-0.008,0.148,0.172
-4.531e+00,-0.032,-0.056,0.14,0.108
-4.530e+00,-0.032,-0.024,0.14,0.164
-4.528e+00,-0.04,-0.064,0.14,0.1
