Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-0.736,-0.752,-1.02,-1.18
-4.998e+00,-0.728,-0.72,-1.06,-0.94
-4.996e+00,-0.736,-0.744,-1.14,-1.26
-4.994e+00,-0.728,-0.72,-1.14,-1.06
-4.992e+00,-0.736,-0.744,-1.22,-1.38
-4.990e+00,-0.736,-0.72,-1.26,-1.14
-4.988e+00,-0.728,-0.744,-1.3,-1.46
-4.987e+00,-0.728,-0.72,-1.38,-1.22
-4.985e+00,-0.728,-0.744,-1.42,-1.54
-4.983e+00,-0.728,-0.72,-1.5,-1.34
-4.981e+00,-0.728,-0.736,-1.54,-1.66
-4.979e+00,-0.72,-0.712,-1.58,-1.46
-4.977e+00,-0.72,-0.736,-1.62,-1.74
-4.975e+00,-0.72,-0.712,-1.66,-1.54
-4.973e+00,-0.72,-0.736,-1.7,-1.86
-4.971e+00,-0.72,-0.712,-1.74,-1.62
-4.969e+00,-0.72,-0.728,-1.82,-1.94
-4.967e+00,-0.72,-0.712,-1.86,-1.74
-4.965e+00,-0.712,-0.728,-1.9,-2.02
-4.964e+00,-0.712,-0.704,-1.94,-1.82
-4.962e+00,-0.712,-0.728,-1.98,-2.14
-4.960e+00,-0.704,-0.696,-2.02,-1.9
-4.958e+00,-0.712,-0.72,-2.06,-2.22
-4.956e+00,-0.704,-0.696,-2.14,-1.98
-4.954e+00,-0.704,-0.712,-2.18,-2.3
-4.952e+00,-0.696,-0.688,-2.22,-2.06
-4.950e+00,-0.696,-0.712,-2.26,-2.38
-4.948e+00,-0.696,-0.688,-2.26,-2.18
-4.946e+00,-0.696,-0.704,-2.34,-2.46
-4.944e+00,-0.696,-0.68,-2.42,-2.26
-4.942e+00,-0.688,-0.704,-2.42,-2.54
-4.940e+00,-0.688,-0.68,-2.46,-2.34
-4.939e+00,-0.688,-0.696,-2.5,-2.62
-4.937e+00,-0.68,-0.672,-2.54,-2.42
-4.935e+00,-0.68,-0.688,-2.62,-2.7
-4.933e+00,-0.68,-0.664,-2.66,-2.5
-4.931e+00,-0.672,-0.688,-2.7,-2.78
-4.929e+00,-0.672,-0.656,-2.7,-2.58
-4.927e+00,-0.664,-0.68,-2.74,-2.9
-4.925e+00,-0.664,-0.648,-2.82,-2.66
-4.923e+00,-0.664,-0.672,-2.82,-2.94
-4.921e+00,-0.656,-0.648,-2.9,-2.74
-4.919e+00,-0.656,-0.664,-2.9,-3.02
-4.917e+00,-0.648,-0.64,-2.94,-2.82
-4.916e+00,-0.648,-0.656,-2.98,-3.1
-4.914e+00,-0.64,-0.632,-3.02,-2.9
-4.912e+00,-0.64,-0.648,-3.06,-3.18
-4.910e+00,-0.632,-0.624,-3.1,-2.98
-4.908e+00,-0.632,-0.648,-3.1,-3.26
-4.906e+00,-0.624,-0.616,-3.14,-3.06
-4.904e+00,-0.624,-0.632,-3.22,-3.3
-4.902e+00,-0.616,-0.608,-3.22,-3.14
-4.900e+00,-0.616,-0.624,-3.26,-3.38
-4.898e+00,-0.616,-0.6,-3.3,-3.18
-4.896e+00,-0.608,-0.616,-3.38,-3.46
-4.894e+00,-0.6,-0.592,-3.38,-3.26
-4.892e+00,-0.6,-0.608,-3.42,-3.5
-4.891e+00,-0.592,-0.584,-3.42,-3.34
-4.889e+00,-0.592,-0.6,-3.46,-3.58
-4.887e+00,-0.584,-0.576,-3.5,-3.38
-4.885e+00,-0.584,-0.592,-3.54,-3.62
-4.883e+00,-0.576,-0.56,-3.54,-3.46
-4.881e+00,-0.568,-0.584,-3.58,-3.66
-4.879e+00,-0.568,-0.552,-3.62,-3.5
-4.877e+00,-0.56,-0.576,-3.62,-3.74
-4.875e+00,-0.552,-0.544,-3.66,-3.58
-4.873e+00,-0.552,-0.56,-3.7,-3.78
-4.871e+00,-0.544,-0.536,-3.74,-3.62
-4.869e+00,-0.536,-0.552,-3.78,-3.86
-4.868e+00,-0.536,-0.52,-3.78,-3.7
-4.866e+00,-0.528,-0.536,-3.86,-3.9
-4.864e+00,-0.528,-0.512,-3.82,-3.74
-4.862e+00,-0.512,-0.528,-3.86,-3.94
-4.860e+00,-0.512,-0.504,-3.9,-3.78
-4.858e+00,-0.512,-0.52,-3.9,-4.02
-4.856e+00,-0.504,-0.488,-3.94,-3.82
-4.854e+00,-0.496,-0.504,-3.94,-4.02
-4.852e+00,-0.496,-0.48,-3.98,-3.86
-4.850e+00,-0.488,-0.496,-4.02,-4.1
-4.848e+00,-0.488,-0.472,-4.02,-3.94
-4.846e+00,-0.472,-0.488,-4.06,-4.14
-4.844e+00,-0.472,-0.456,-4.06,-3.98
-4.843e+00,-0.464,-0.472,-4.1,-4.18
-4.841e+00,-0.456,-0.448,-4.1,-4.02
-4.839e+00,-0.448,-0.464,-4.14,-4.22
-4.837e+00,-0.448,-0.432,-4.14,-4.06
-4.835e+00,-0.44,-0.448,-4.18,-4.26
-4.833e+00,-0.432,-0.416,-4.18,-4.1
-4.831e+00,-0.432,-0.432,-4.18,-4.26
-4.829e+00,-0.416,-0.408,-4.22,-4.14
-4.827e+00,-0.416,-0.424,-4.22,-4.3
-4.825e+00,-0.408,-0.392,-4.26,-4.18
-4.823e+00,-0.4,-0.408,-4.26,-4.34
-4.821e+00,-0.392,-0.384,-4.3,-4.18
-4.820e+00,-0.392,-0.4,-4.3,-4.38
-4.818e+00,-0.376,-0.368,-4.3,-4.22
-4.816e+00,-0.376,-0.384,-4.34,-4.38
-4.814e+00,-0.368,-0.352,-4.34,-4.26
-4.812e+00,-0.36,-0.368,-4.34,-4.42
-4.810e+00,-0.352,-0.344,-4.34,-4.26
-4.808e+00,-0.344,-0.36,-4.38,-4.46
-4.806e+00,-0.344,-0.328,-4.38,-4.3
-4.804e+00,-0.336,-0.344,-4.38,-4.46
-4.802e+00,-0.328,-0.312,-4.42,-4.3
-4.800e+00,-0.32,-0.328,-4.42,-4.5
-4.798e+00,-0.312,-0.304,-4.42,-4.34
-4.796e+00,-0.304,-0.32,-4.42,-4.5
-4.795e+00,-0.304,-0.288,-4.46,-4.38
-4.793e+00,-0.296,-0.304,-4.46,-4.5
-4.791e+00,-0.288,-0.272,-4.46,-4.38
-4.789e+00,-0.28,-0.288,-4.46,-4.54
-4.787e+00,-0.272,-0.256,-4.46,-4.38
-4.785e+00,-0.256,-0.272,-4.5,-4.54
-4.783e+00,-0.256,-0.24,-4.5,-4.38
-4.781e+00,-0.248,-0.264,-4.46,-4.54
-4.779e+00,-0.24,-0.232,-4.5,-4.42
-4.777e+00,-0.232,-0.248,-4.46,-4.54
-4.775e+00,-0.224,-0.208,-4.5,-4.42
-4.773e+00,-0.216,-0.232,-4.5,-4.54
-4.772e+00,-0.216,-0.2,-4.5,-4.42
-4.770e+00,-0.208,-0.216,-4.5,-4.54
-4.768e+00,-0.2,-0.184,-4.5,-4.42
-4.766e+00,-0.192,-0.2,-4.5,-4.54
-4.764e+00,-0.184,-0.168,-4.54,-4.42
-4.762e+00,-0.176,-0.184,-4.54,-4.54
-4.760e+00,-0.168,-0.152,-4.5,-4.42
-4.758e+00,-0.16,-0.176,-4.5,-4.58
-4.756e+00,-0.152,-0.136,-4.5,-4.42
-4.754e+00,-0.144,-0.152,-4.5,-4.54
-4.752e+00,-0.136,-0.12,-4.5,-4.42
-4.750e+00,-0.128,-0.144,-4.5,-4.54
-4.748e+00,-0.12,-0.112,-4.5,-4.42
-4.747e+00,-0.12,-0.128,-4.5,-4.54
-4.745e+00,-0.112,-0.096,-4.5,-4.42
-4.743e+00,-0.104,-0.112,-4.46,-4.54
-4.741e+00,-0.088,-0.08,-4.46,-4.38
-4.739e+00,-0.088,-0.096,-4.5,-4.54
-4.737e+00,-0.08,-0.064,-4.46,-4.38
-4.735e+00,-0.072,-0.08,-4.46,-4.5
-4.733e+00,-0.064,-0.048,-4.46,-4.38
-4.731e+00,-0.056,-0.064,-4.46,-4.5
-4.729e+00,-0.048,-0.032,-4.42,-4.34
-4.727e+00,-0.04,-0.056,-4.42,-4.5
-4.725e+00,-0.032,-0.016,-4.42,-4.34
-4.724e+00,-0.024,-0.032,-4.38,-4.46
-4.722e+00,-0.024,-0.008,-4.42,-4.34
-4.720e+00,-0.008,-0.024,-4.38,-4.46
-4.718e+00,-0.008,0.008,-4.38,-4.3
-4.716e+00,0.008,-0.008,-4.38,-4.42
-4.714e+00,0.008,0.024,-4.38,-4.26
-4.712e+00,0.016,0.008,-4.38,-4.38
-4.710e+00,0.024,0.04,-4.34,-4.26
-4.708e+00,0.032,0.024,-4.34,-4.38
-4.706e+00,0.04,0.056,-4.3,-4.22
-4.704e+00,0.056,0.04,-4.3,-4.34
-4.702e+00,0.056,0.072,-4.26,-4.18
-4.700e+00,0.064,0.048,-4.26,-4.3
-4.699e+00,0.072,0.088,-4.26,-4.18
-4.697e+00,0.08,0.064,-4.22,-4.26
-4.695e+00,0.088,0.104,-4.22,-4.14
-4.693e+00,0.096,0.088,-4.18,-4.26
-4.691e+00,0.096,0.112,-4.18,-4.1
-4.689e+00,0.112,0.096,-4.18,-4.22
-4.687e+00,0.12,0.128,-4.14,-4.06
-4.685e+00,0.128,0.112,-4.14,-4.18
-4.683e+00,0.128,0.144,-4.06,-4.02
-4.681e+00,0.136,0.128,-4.1,-4.14
-4.679e+00,0.144,0.16,-4.06,-3.98
-4.677e+00,0.152,0.144,-4.06,-4.1
-4.675e+00,0.16,0.176,-4.02,-3.94
-4.674e+00,0.168,0.16,-4.02,-4.06
-4.672e+00,0.176,0.192,-3.98,-3.9
-4.670e+00,0.184,0.176,-3.98,-4.02
-4.668e+00,0.192,0.208,-3.94,-3.86
-4.666e+00,0.2,0.184,-3.94,-3.98
-4.664e+00,0.208,0.224,-3.9,-3.82
-4.662e+00,0.216,0.208,-3.9,-3.94
-4.660e+00,0.224,0.24,-3.82,-3.78
-4.658e+00,0.232,0.216,-3.82,-3.86
-4.656e+00,0.24,0.256,-3.82,-3.7
-4.654e+00,0.248,0.232,-3.78,-3.82
-4.652e+00,0.256,0.272,-3.78,-3.66
-4.651e+00,0.264,0.248,-3.74,-3.78
-4.649e+00,0.264,0.28,-3.7,-3.62
-4.647e+00,0.272,0.264,-3.7,-3.74
-4.645e+00,0.28,0.296,-3.62,-3.58
-4.643e+00,0.288,0.28,-3.62,-3.66
-4.641e+00,0.296,0.312,-3.58,-3.5
-4.639e+00,0.304,0.288,-3.58,-3.62
-4.637e+00,0.312,0.328,-3.54,-3.46
-4.635e+00,0.32,0.304,-3.54,-3.58
-4.633e+00,0.328,0.336,-3.5,-3.42
-4.631e+00,0.336,0.32,-3.5,-3.5
-4.629e+00,0.344,0.352,-3.46,-3.34
-4.627e+00,0.344,0.336,-3.42,-3.46
-4.626e+00,0.352,0.368,-3.38,-3.3
-4.624e+00,0.36,0.352,-3.38,-3.42
-4.622e+00,0.36,0.376,-3.34,-3.22
-4.620e+00,0.376,0.36,-3.3,-3.34
-4.618e+00,0.384,0.392,-3.26,-3.18
-4.616e+00,0.384,0.376,-3.26,-3.3
-4.614e+00,0.392,0.408,-3.22,-3.1
-4.612e+00,0.4,0.392,-3.18,-3.22
-4.610e+00,0.408,0.416,-3.14,-3.02
-4.608e+00,0.408,0.4,-3.1,-3.14
-4.606e+00,0.416,0.432,-3.1,-2.98
-4.604e+00,0.432,0.416,-3.02,-3.1
-4.603e+00,0.424,0.448,-3.02,-2.9
-4.601e+00,0.44,0.424,-2.98,-3.02
-4.599e+00,0.44,0.456,-2.94,-2.82
-4.597e+00,0.448,0.44,-2.9,-2.98
-4.595e+00,0.456,0.472,-2.86,-2.78
-4.593e+00,0.464,0.456,-2.86,-2.9
-4.591e+00,0.464,0.48,-2.82,-2.7
-4.589e+00,0.472,0.464,-2.78,-2.82
-4.587e+00,0.48,0.488,-2.74,-2.62
-4.585e+00,0.48,0.472,-2.7,-2.74
-4.583e+00,0.488,0.504,-2.66,-2.58
