Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1,,,
Sample Interval,0.00192012,,,
Filter Frequency,7e+07,,,
Record Length,5200,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.02,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-5.000e+00,-0.0752,-0.0776,-4.68,-4.84
-4.998e+00,-0.0752,-0.0728,-4.68,-4.52
-4.996e+00,-0.076,-0.0792,-4.68,-4.76
-4.994e+00,-0.0776,-0.0736,-4.6,-4.36
-4.992e+00,-0.0768,-0.0808,-4.52,-4.6
-4.990e+00,-0.0776,-0.0752,-4.52,-4.28
-4.988e+00,-0.0792,-0.0816,-4.44,-4.52
-4.987e+00,-0.0792,-0.0768,-4.36,-4.12
-4.985e+00,-0.0792,-0.0824,-4.28,-4.36
-4.983e+00,-0.08,-0.0776,-4.2,-4.04
-4.981e+00,-0.0808,-0.0832,-4.2,-4.28
-4.979e+00,-0.0808,-0.0784,-4.12,-3.88
-4.977e+00,-0.0816,-0.0848,-4.04,-4.12
-4.975e+00,-0.0832,-0.0792,-3.96,-3.8
-4.973e+00,-0.0824,-0.0856,-3.96,-4.04
-4.971e+00,-0.0824,-0.0808,-3.88,-3.72
-4.969e+00,-0.0832,-0.0864,-3.8,-3.88
-4.967e+00,-0.0848,-0.0816,-3.72,-3.56
-4.965e+00,-0.0848,-0.0872,-3.72,-3.8
-4.964e+00,-0.0848,-0.0824,-3.64,-3.48
-4.962e+00,-0.0848,-0.088,-3.56,-3.64
-4.960e+00,-0.0856,-0.0832,-3.48,-3.32
-4.958e+00,-0.0856,-0.0888,-3.48,-3.56
-4.956e+00,-0.0864,-0.0832,-3.4,-3.24
-4.954e+00,-0.0872,-0.0896,-3.32,-3.4
-4.952e+00,-0.0872,-0.0856,-3.32,-3.08
-4.950e+00,-0.088,-0.0904,-3.24,-3.32
-4.948e+00,-0.088,-0.0856,-3.16,-3
-4.946e+00,-0.0888,-0.0912,-3.08,-3.16
-4.944e+00,-0.0888,-0.0864,-3.08,-2.84
-4.942e+00,-0.0888,-0.0912,-3,-3
-4.940e+00,-0.0896,-0.0872,-2.92,-2.68
-4.939e+00,-0.0888,-0.0928,-2.84,-2.92
-4.937e+00,-0.0896,-0.0872,-2.76,-2.52
-4.935e+00,-0.0904,-0.0928,-2.68,-2.76
-4.933e+00,-0.0896,-0.0888,-2.6,-2.44
-4.931e+00,-0.0904,-0.0936,-2.6,-2.68
-4.929e+00,-0.0912,-0.0888,-2.52,-2.28
-4.927e+00,-0.092,-0.0936,-2.44,-2.52
-4.925e+00,-0.0912,-0.0888,-2.36,-2.12
-4.923e+00,-0.0912,-0.0936,-2.28,-2.36
-4.921e+00,-0.0912,-0.0896,-2.2,-2.04
-4.919e+00,-0.0912,-0.0944,-2.2,-2.2
-4.917e+00,-0.0912,-0.0896,-2.12,-1.88
-4.916e+00,-0.092,-0.0952,-2.04,-2.12
-4.914e+00,-0.092,-0.0904,-1.96,-1.72
-4.912e+00,-0.0928,-0.0952,-1.88,-1.96
-4.910e+00,-0.0928,-0.0904,-1.8,-1.64
-4.908e+00,-0.0936,-0.0952,-1.72,-1.8
-4.906e+00,-0.0928,-0.0912,-1.64,-1.48
-4.904e+00,-0.0936,-0.0952,-1.64,-1.72
-4.902e+00,-0.092,-0.0912,-1.56,-1.32
-4.900e+00,-0.0928,-0.0952,-1.48,-1.56
-4.898e+00,-0.0936,-0.0912,-1.4,-1.24
-4.896e+00,-0.0928,-0.096,-1.32,-1.4
-4.894e+00,-0.0944,-0.0912,-1.24,-1.08
-4.892e+00,-0.0928,-0.096,-1.16,-1.24
-4.891e+00,-0.0944,-0.0912,-1.08,-0.92
-4.889e+00,-0.0936,-0.096,-1.08,-1.16
-4.887e+00,-0.0936,-0.0912,-1,-0.76
-4.885e+00,-0.0936,-0.0952,-0.92,-1
-4.883e+00,-0.0928,-0.0912,-0.84,-0.68
-4.881e+00,-0.0928,-0.0952,-0.76,-0.84
-4.879e+00,-0.0928,-0.0904,-0.76,-0.52
-4.877e+00,-0.0928,-0.096,-0.68,-0.68
-4.875e+00,-0.0936,-0.0912,-0.6,-0.36
-4.873e+00,-0.0936,-0.0952,-0.52,-0.6
-4.871e+00,-0.0936,-0.0912,-0.44,-0.28
-4.869e+00,-0.0928,-0.0952,-0.36,-0.44
-4.868e+00,-0.0936,-0.0904,-0.36,-0.12
-4.866e+00,-0.0928,-0.0944,-0.28,-0.28
-4.864e+00,-0.092,-0.0904,-0.2,0.04
-4.862e+00,-0.092,-0.0944,-0.12,-0.2
-4.860e+00,-0.092,-0.0896,-0.04,0.12
-4.858e+00,-0.092,-0.0944,0.04,-0.04
-4.856e+00,-0.092,-0.0896,0.04,0.28
-4.854e+00,-0.0912,-0.0936,0.2,0.04
-4.852e+00,-0.092,-0.0896,0.2,0.44
-4.850e+00,-0.0904,-0.0936,0.36,0.28
-4.848e+00,-0.0904,-0.0888,0.36,0.52
-4.846e+00,-0.0904,-0.0928,0.44,0.36
-4.844e+00,-0.0904,-0.088,0.52,0.68
-4.843e+00,-0.0904,-0.092,0.6,0.52
-4.841e+00,-0.0888,-0.0872,0.68,0.84
-4.839e+00,-0.0896,-0.0912,0.76,0.68
-4.837e+00,-0.088,-0.0872,0.84,1
-4.835e+00,-0.0888,-0.0912,0.84,0.76
-4.833e+00,-0.0888,-0.0864,0.92,1.08
-4.831e+00,-0.088,-0.0904,1,0.92
-4.829e+00,-0.088,-0.0856,1.08,1.24
-4.827e+00,-0.088,-0.0904,1.16,1.08
-4.825e+00,-0.0864,-0.0848,1.24,1.4
-4.823e+00,-0.0856,-0.0888,1.32,1.24
-4.821e+00,-0.0864,-0.084,1.32,1.48
-4.820e+00,-0.0864,-0.088,1.4,1.32
-4.818e+00,-0.0856,-0.0832,1.48,1.64
-4.816e+00,-0.0848,-0.0872,1.56,1.48
-4.814e+00,-0.0856,-0.0832,1.64,1.8
-4.812e+00,-0.084,-0.0864,1.72,1.64
-4.810e+00,-0.0832,-0.0816,1.8,1.88
-4.808e+00,-0.0832,-0.0856,1.8,1.72
-4.806e+00,-0.0832,-0.0808,1.88,2.04
-4.804e+00,-0.0824,-0.084,1.96,1.88
-4.802e+00,-0.0816,-0.08,2.04,2.2
-4.800e+00,-0.0808,-0.0832,2.12,2.04
-4.798e+00,-0.08,-0.0784,2.12,2.36
-4.796e+00,-0.08,-0.0824,2.2,2.12
-4.795e+00,-0.08,-0.0776,2.28,2.44
-4.793e+00,-0.08,-0.0816,2.36,2.28
-4.791e+00,-0.0784,-0.0768,2.44,2.6
-4.789e+00,-0.0784,-0.0808,2.44,2.36
-4.787e+00,-0.0784,-0.0752,2.52,2.68
-4.785e+00,-0.0768,-0.0784,2.6,2.52
-4.783e+00,-0.0752,-0.0744,2.68,2.84
-4.781e+00,-0.076,-0.0776,2.76,2.68
-4.779e+00,-0.0752,-0.0728,2.76,2.92
-4.777e+00,-0.0744,-0.0768,2.84,2.76
-4.775e+00,-0.0744,-0.072,2.92,3.08
-4.773e+00,-0.0744,-0.076,2.92,2.92
-4.772e+00,-0.0728,-0.0704,3,3.16
-4.770e+00,-0.0728,-0.0744,3.08,3
-4.768e+00,-0.0728,-0.0696,3.16,3.32
-4.766e+00,-0.0712,-0.0736,3.24,3.16
-4.764e+00,-0.0696,-0.068,3.24,3.4
-4.762e+00,-0.0696,-0.072,3.32,3.24
-4.760e+00,-0.0696,-0.0664,3.4,3.56
-4.758e+00,-0.068,-0.0704,3.48,3.32
-4.756e+00,-0.068,-0.0656,3.48,3.64
-4.754e+00,-0.0672,-0.0696,3.56,3.48
-4.752e+00,-0.0672,-0.0648,3.64,3.72
-4.750e+00,-0.0656,-0.068,3.64,3.56
-4.748e+00,-0.0656,-0.0632,3.72,3.88
-4.747e+00,-0.0656,-0.0672,3.8,3.64
-4.745e+00,-0.0632,-0.0608,3.8,3.96
-4.743e+00,-0.0632,-0.0648,3.88,3.8
-4.741e+00,-0.0632,-0.06,3.96,4.04
-4.739e+00,-0.0624,-0.064,3.96,3.88
-4.737e+00,-0.0608,-0.0584,4.04,4.12
-4.735e+00,-0.0608,-0.0632,4.04,4.04
-4.733e+00,-0.06,-0.0576,4.12,4.28
-4.731e+00,-0.0592,-0.0608,4.2,4.12
-4.729e+00,-0.0584,-0.056,4.28,4.36
-4.727e+00,-0.0584,-0.06,4.28,4.2
-4.725e+00,-0.056,-0.0544,4.36,4.44
-4.724e+00,-0.0552,-0.0576,4.36,4.28
-4.722e+00,-0.0552,-0.0528,4.52,4.6
-4.720e+00,-0.0544,-0.0568,4.52,4.44
-4.718e+00,-0.0528,-0.0512,4.52,4.68
-4.716e+00,-0.0536,-0.0552,4.6,4.52
-4.714e+00,-0.0528,-0.0504,4.6,4.76
-4.712e+00,-0.0512,-0.0536,4.68,4.6
-4.710e+00,-0.0504,-0.0488,4.68,4.84
-4.708e+00,-0.0512,-0.0528,4.76,4.68
-4.706e+00,-0.0496,-0.0464,4.84,4.92
-4.704e+00,-0.048,-0.0504,4.84,4.76
-4.702e+00,-0.048,-0.0456,4.92,5
-4.700e+00,-0.0472,-0.0488,5,4.84
-4.699e+00,-0.0464,-0.044,5,5.16
-4.697e+00,-0.0456,-0.0472,5.08,4.92
-4.695e+00,-0.0448,-0.0432,5.08,5.24
-4.693e+00,-0.0448,-0.0464,5.16,5.08
-4.691e+00,-0.044,-0.0408,5.16,5.32
-4.689e+00,-0.0432,-0.0448,5.24,5.16
-4.687e+00,-0.0424,-0.0392,5.24,5.4
-4.685e+00,-0.0408,-0.0432,5.32,5.24
-4.683e+00,-0.04,-0.0376,5.4,5.48
-4.681e+00,-0.04,-0.0416,5.4,5.32
-4.679e+00,-0.0392,-0.036,5.4,5.48
-4.677e+00,-0.0376,-0.0392,5.48,5.4
-4.675e+00,-0.0368,-0.0344,5.48,5.56
-4.674e+00,-0.0368,-0.0384,5.48,5.48
-4.672e+00,-0.036,-0.0336,5.56,5.64
-4.670e+00,-0.0344,-0.0368,5.56,5.48
-4.668e+00,-0.0344,-0.032,5.64,5.72
-4.666e+00,-0.0328,-0.0352,5.64,5.56
-4.664e+00,-0.032,-0.0296,5.72,5.8
-4.662e+00,-0.0312,-0.0336,5.72,5.64
-4.660e+00,-0.0312,-0.028,5.8,5.88
-4.658e+00,-0.0296,-0.0312,5.8,5.72
-4.656e+00,-0.0296,-0.0272,5.8,5.96
-4.654e+00,-0.0288,-0.0312,5.88,5.8
-4.652e+00,-0.0272,-0.0256,5.88,5.96
-4.651e+00,-0.0264,-0.0288,5.88,5.8
-4.649e+00,-0.0264,-0.024,5.96,6.04
-4.647e+00,-0.0264,-0.0272,5.96,5.88
-4.645e+00,-0.0232,-0.0216,6.04,6.12
-4.643e+00,-0.0232,-0.0248,6.04,5.96
-4.641e+00,-0.0224,-0.02,6.04,6.2
-4.639e+00,-0.0224,-0.024,6.12,5.96
-4.637e+00,-0.02,-0.0184,6.12,6.2
-4.635e+00,-0.0208,-0.0224,6.12,6.04
-4.633e+00,-0.02,-0.0168,6.12,6.28
-4.631e+00,-0.0192,-0.0208,6.2,6.04
-4.629e+00,-0.0184,-0.016,6.2,6.28
-4.627e+00,-0.0176,-0.0192,6.2,6.12
-4.626e+00,-0.0168,-0.0136,6.2,6.36
-4.624e+00,-0.0152,-0.0168,6.28,6.2
-4.622e+00,-0.0136,-0.012,6.28,6.36
-4.620e+00,-0.0136,-0.016,6.28,6.2
-4.618e+00,-0.012,-0.0104,6.36,6.44
-4.616e+00,-0.0128,-0.0144,6.36,6.2
-4.614e+00,-0.0112,-0.0096,6.36,6.44
-4.612e+00,-0.0104,-0.0128,6.36,6.28
-4.610e+00,-0.0104,-0.008,6.36,6.44
-4.608e+00,-0.0096,-0.0112,6.36,6.28
-4.606e+00,-0.008,-0.0056,6.36,6.52
-4.604e+00,-0.0072,-0.0088,6.44,6.28
-4.603e+00,-0.0056,-0.004,6.44,6.52
-4.601e+00,-0.0056,-0.008,6.44,6.28
-4.599e+00,-0.004,-0.0024,6.44,6.52
-4.597e+00,-0.0048,-0.0056,6.44,6.36
