x1,x2,x_err,x0,v1,v1_corr,v1_err,v2,v2_corr,v2_err,,a,a_err
80,130,0.5,15,46.5,45.8025,0.253097207,60.9,59.9865,0.320505207,,15.4656,
80,130,0.5,30,41.3,40.6805,0.229442335,57.1,56.2435,0.302511462,,15.5472,
80,130,0.5,45,35.2,34.672,0.202428049,52.9,52.1065,0.282776888,,15.5937,
80,130,0.5,60,27.9,27.4815,0.171641925,48.5,47.7725,0.26231349,,15.7384,
80,130,0.5,75,17.6,17.336,0.133207653,43.4,42.749,0.238936592,,15.738,
80,130,0.5,20,44.8,44.128,0.245311651,59.5,58.6075,0.313862129,,15.3321,
80,130,0.5,50,32.8,32.308,0.192085836,51.5,50.7275,0.27624018,,15.7641,
80,130,0.5,40,37.3,36.7405,0.211621129,54.3,53.4855,0.289335279,,15.572,
